,産業,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
0,総合計,8487,335361994,13994455,11724600,2269855,928711,445106,4.17,1093951,135305,50625,1833,667698,9203,207458
1,合計,8286,328372935,13960307,11692953,2267354,927755,444943,4.25,1092237,134892,50625,1807,666344,8719,197442
2,鉱業、採石業、砂利採取業,8,295696,2623,2215,408,3,,0.89,,,,2,,11,
3,製造業,6161,227094428,11438951,9559555,1879396,883982,306279,5.04,250960,43614,36864,1502,572744,3919,86823
4,090食料品製造業,674,13764452,122833,116290,6543,2262,89,0.89,216,70,,89,10221,418,4822
5,091畜産食料品製造業,100,4311821,26493,25691,802,263,,0.61,2,,,12,534,82,1061
6,092水産食料品製造業,74,700591,3226,3122,104,1,,0.46,14,,,3,17,36,202
7,093精穀・製粉業,17,314461,1989,1987,2,,,0.63,,,,4,40,11,97
8,099その他の食料品製造業,483,8437579,91125,85490,5635,1998,89,1.08,200,70,,70,9630,289,3462
9,100飲料・たばこ・飼料製造業,114,6245877,77163,73959,3204,95,,1.24,46,,,33,3370,71,1453
10,101清涼飲料・酒類・茶・たばこ製造業,84,5390810,72713,69597,3116,17,,1.35,46,,,24,3137,56,1275
11,102飼料・有機質肥料製造業,30,855067,4450,4362,88,78,,0.52,,,,9,233,15,178
12,110繊維工業,150,1858841,88378,83432,4946,1191,2798,4.75,2349,727,,26,7487,69,1428
13,111製糸，紡績，ねん糸等製造業,20,807864,70581,66375,4206,1018,2798,8.74,2205,688,,9,6929,8,1126
14,112織物・ニット生地製造業,28,315134,7450,7311,139,5,,2.36,54,,,2,,12,97
15,113染色整理業,31,155675,2509,2484,25,11,,1.61,6,,,5,124,11,30
16,114その他の繊維工業,32,232328,3258,3063,195,140,,1.4,,,,5,142,17,69
17,115織物・ニット製衣服製造業,17,192927,3261,3242,19,17,,1.69,39,39,,3,156,10,64
18,119身の回り品・その他の繊維製品製造業,22,154913,1319,957,362,,,0.85,45,,,2,,11,42
19,120木材・木製品製造業（家具を除く）,29,649744,3044,2867,177,18,,0.47,7,,,4,41,31,
20,121製材・合板製造業,28,,,,177,18,,,7,,,4,41,30,155
21,129その他の木製品製造業（家具を除く）,1,,,,,,,,,,,,,1,
22,130家具・装備品製造業,71,933500,13687,13106,581,8,,1.47,,,,6,596,32,259
23,140パルプ・紙・紙加工品製造業,111,3958854,29433,27439,1994,525,1,0.74,1013,456,,21,2312,97,753
24,141パルプ・紙製造業,44,2375475,14668,13097,1571,217,,0.62,443,6,,11,843,36,342
25,142紙加工品製造業,67,1583379,14765,14342,423,308,1,0.93,570,450,,10,1469,61,411
26,150印刷・同関連業,86,2909015,35509,35188,321,69,,1.22,35,,,10,2247,157,1963
27,160化学工業,759,25166012,1874147,1484389,389758,18171,142960,7.45,54453,5743,14926,364,116978,391,14177
28,161化学肥料・無機化学工業製品製造業,70,1380183,41580,37852,3728,65,,3.01,757,,,38,3227,35,495
29,162有機化学工業製品製造業,149,9180389,387855,352186,35669,4529,7421,4.22,3635,642,11,78,38820,73,2700
30,163油脂加工製品等（注）,95,1689441,46162,42033,4129,3122,,2.73,259,220,,41,6366,48,567
31,164医薬品製造業,198,7882664,1149925,823207,326718,4550,132063,14.59,46519,2262,14897,99,39701,110,7449
32,169その他の化学工業製品製造業,247,5033335,248625,229111,19514,5905,3476,4.94,3283,2619,18,108,28864,125,2966
