,産業,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
33,170石油製品・石炭製品製造業,32,7380002,26741,25372,1369,143,25,0.36,336,100,,11,3433,18,482
34,171石油精製業,11,6951297,18489,17224,1265,143,,0.27,318,100,,4,1496,7,374
35,179その他の石油製品・石炭製品製造業,21,428705,8252,8148,104,,25,1.92,18,,,7,1937,11,108
36,180プラスチック製品製造業,347,5450888,149097,145623,3474,981,139,2.74,2858,619,150,78,10922,202,1742
37,190ゴム製品製造業,83,2438626,170165,153485,16680,247,649,6.98,55,,,16,17656,34,788
38,191タイヤ・チューブ製造業,7,1775600,154066,138270,15796,25,30,8.68,55,,,1,,3,612
39,199その他のゴム製品製造業,76,663026,16099,15215,884,222,619,2.43,,,,15,,31,176
40,200なめし革・同製品・毛皮製造業,10,45040,572,572,,,,1.27,,,,,,2,
41,210窯業・土石製品製造業,223,3288035,70636,67701,2935,2147,82,2.15,3141,39,2229,54,5632,114,1029
42,211ガラス・同製品製造業,39,769039,26604,24381,2223,2064,33,3.46,2349,20,2229,11,1460,23,258
43,212セメント・同製品製造業,55,805569,7076,6887,189,37,,0.88,161,17,,8,420,36,284
44,219その他の窯業・土石製品製造業,129,1713427,36956,36433,523,46,49,2.16,631,2,,35,3752,55,487
45,220鉄鋼業,150,10337826,157603,153292,4311,3064,72,1.52,3248,802,21,30,11386,163,2761
46,221銑鉄・粗鋼・鋼材製造業,91,9729100,152788,148623,4165,2950,72,1.57,3029,802,21,23,11217,91,2426
47,222鋳鍛造品・その他の鉄鋼製品製造業,59,608726,4815,4669,146,114,,0.79,219,,,7,169,72,335
48,230非鉄金属製造業,180,7324904,128131,122845,5286,883,809,1.75,6146,1774,47,39,9042,121,2647
49,231非鉄金属製錬・精製業,40,2591018,30179,29515,664,83,24,1.16,215,,,14,3838,30,585
50,232非鉄金属加工品製造業,140,4733886,97952,93330,4622,800,785,2.07,5931,1774,47,25,5204,91,2062
51,240金属製品製造業,436,6046291,78939,75833,3106,2091,418,1.31,1460,922,,61,4342,308,2132
52,241建設用・建築用金属製品製造業,126,2969047,31394,30931,463,88,,1.06,314,68,,17,1393,83,723
53,249その他の金属製品製造業,310,3077244,47545,44902,2643,2003,418,1.55,1146,854,,44,2949,225,1409
54,250はん用機械器具製造業,285,4984195,132986,125419,7567,681,578,2.67,760,200,,60,6136,206,2086
55,251ボイラ・原動機製造業,18,1008203,34416,31204,3212,,,3.41,388,,,7,2240,15,94
56,252ポンプ・圧縮機器製造業,75,1238338,31383,29272,2111,221,,2.53,9,,,15,383,50,525
57,253一般産業用機械・装置製造業,96,1356873,30621,29001,1620,77,439,2.26,51,,,24,781,73,885
58,259その他のはん用機械・同部品製造業,96,1380781,36566,35942,624,383,139,2.65,312,200,,14,2732,68,582
59,260生産用機械器具製造業,549,10317439,514923,488855,26068,8733,8486,4.99,4414,498,,116,51324,307,5032
60,261金属加工機械製造業,148,1901783,64737,60571,4166,118,1349,3.4,124,,,30,2280,74,726
61,262特殊産業用機械製造業,401,8415656,450186,428284,21902,8615,7137,5.35,4290,498,,86,49044,233,4306
62,270業務用機械器具製造業,290,10298978,1090114,1025926,64188,18808,10839,10.58,3981,542,1352,89,56623,134,3016
63,271事務用・サービス用機械器具製造業,68,5392356,685088,653298,31790,6102,2351,12.7,1426,542,568,23,42819,34,952
64,273計量器・測定器等（注）,116,1668802,99208,87206,12002,5295,340,5.94,1576,,784,27,892,55,1211
65,274医療用機械器具・医療用品製造業,74,2109002,149543,130187,19356,7411,8148,7.09,854,,,30,9029,32,683
66,275光学機械器具・レンズ製造業,28,1086838,154911,153871,1040,,,14.25,125,,,7,,10,162
67,276武器製造業,4,41980,1364,1364,,,,3.25,,,,2,,3,8
68,280電子部品・デバイス・電子回路製造業,290,15153083,979492,955977,23515,2236,3577,6.46,20361,12278,,90,65500,195,5859
69,290電気機械器具製造業,449,15229225,928642,869802,58840,3660,11830,6.1,18556,10688,,95,21931,253,7937
70,291産業用電気機械器具製造業,206,6302287,343477,326856,16621,543,4645,5.45,10293,8101,,36,3469,144,5978
71,292民生用電気機械器具製造業,60,5683262,346802,339648,7154,2557,,6.1,4605,,,11,11558,27,410
72,293電子応用装置製造業,37,614774,66837,52428,14409,19,6984,10.87,227,,,6,440,14,249
73,299その他の電気機械器具製造業,146,2628902,171526,150870,20656,541,201,6.52,3431,2587,,42,6464,68,1300
74,300情報通信機械器具製造業,138,7586243,456089,429715,26374,4194,9068,6.01,38969,238,17024,35,13591,80,8288
75,301通信機械器具・同関連機械器具製造業,106,3722187,196842,182695,14147,3894,1611,5.29,2498,137,21,22,2482,54,955
76,302電子計算機・同附属装置製造業,32,3864056,259247,247020,12227,300,7457,6.71,36471,101,17003,13,11109,26,7333
77,310輸送用機械器具製造業,535,63373519,4179875,2997389,1182486,807023,98548,6.6,88039,7918,1110,140,148749,415,16794
78,311自動車・同附属品製造業,410,56512919,4024202,2849263,1174939,806045,98548,7.12,37309,7850,1110,116,143529,318,14328
79,319その他の輸送用機械器具製造業,125,6860600,155673,148126,7547,978,,2.27,50730,68,,24,5220,97,2466
80,320その他の製造業,170,2353839,130752,85079,45673,6752,15311,5.55,517,,5,35,3225,101,1169
81,電気・ガス業,39,19791218,103160,50544,52616,3757,,0.52,7846,250,,15,4062,85,14934
82,331電気業,23,16573667,83666,33240,50426,3757,,0.5,7664,250,,9,1892,34,11998
83,341ガス業,16,3217551,19494,17304,2190,,,0.61,182,,,6,2170,51,2936
84,情報通信業,572,14491105,443793,396894,46899,7279,12100,3.06,56349,27562,7362,39,12679,1127,29287
85,391ソフトウェア業,416,10382686,408572,365160,43412,6341,12006,3.94,56107,27562,7362,29,12136,717,19981
86,392情報処理・提供サービス業,87,2288413,20650,18013,2637,689,,0.9,104,,,5,490,272,7038
87,401インターネット附随サービス業,46,1479508,12254,11445,809,248,94,0.83,,,,3,,77,1218
88,411映画・ビデオ制作業（※）,10,84658,329,307,22,,,0.39,,,,1,,18,174
89,413新聞業,4,174093,1027,1013,14,1,,0.59,,,,1,,15,620
90,414出版業,9,81747,961,956,5,,,1.18,138,,,,,28,256
91,卸売業,1015,55847037,1118219,860059,258160,28849,119839,2,19870,2754,6364,181,38621,1538,30617
92,511繊維品卸売業,17,392243,580,373,207,15,7,0.15,,,,,,16,91
93,512衣服・身の回り品卸売業,61,709416,3675,2989,686,504,,0.52,,,,4,18,53,4111
94,521農畜産物・水産物卸売業,36,2159449,3948,3819,129,7,,0.18,20,12,,6,306,75,767
95,522食料・飲料卸売業,88,3482333,24768,22907,1861,173,,0.71,185,23,,18,889,145,2370
96,531建築材料卸売業,53,1776619,24640,24427,213,109,,1.39,112,18,,9,2774,84,438
97,532化学製品卸売業,88,2317450,11150,9660,1490,631,53,0.48,112,109,,19,415,106,900
98,533石油・鉱物卸売業,21,16465952,17769,14426,3343,15,40,0.11,1224,,856,3,124,68,2672
99,534鉄鋼製品卸売業,28,580854,752,691,61,39,,0.13,2,,,1,,68,1780
100,535非鉄金属卸売業,20,5143095,9207,8711,496,75,7,0.18,225,136,,7,756,22,571
101,536再生資源卸売業,3,40624,60,37,23,16,,0.15,3,3,,,,13,55
102,541産業機械器具卸売業,93,2836168,181909,177168,4741,966,3,6.41,2534,1,,21,13195,145,5970
103,542自動車卸売業,29,2364277,79428,72332,7096,132,1195,3.36,168,,,12,4170,103,1502
104,543電気機械器具卸売業,149,6000601,227129,146284,80845,1573,34218,3.79,9554,2145,5508,26,3577,221,2420
105,549その他の機械器具卸売業,77,1903562,80934,70630,10304,3124,3925,4.25,15,,,17,2480,121,1600
106,551家具・建具・じゅう器等卸売業,38,606590,2548,1972,576,146,,0.42,,,,2,,36,279
107,552医薬品・化粧品等卸売業,70,6053462,402391,276712,125679,20257,80385,6.65,5491,107,,17,9303,96,3601
108,553紙、紙製品卸売業,11,176080,154,152,2,2,,0.09,,,,,,21,116
109,559その他の卸売業,133,2838262,47177,26769,20408,1065,6,1.66,225,200,,19,573,145,1374
110,小売業,145,3456107,15306,8640,6666,2764,452,0.44,23,23,,9,660,996,19290
111,570織物・衣服・身の回り品小売業,19,575871,2060,1532,528,1,319,0.36,,,,1,,84,1932
112,580飲食料品小売業,55,1300789,3266,1395,1871,1812,,0.25,5,5,,1,,219,6594
113,591自動車・自転車小売業,,,,,,,,,,,,,,304,3912
114,593機械器具小売業,9,130527,1134,1047,87,4,83,0.87,,,,,,62,1782
115,602家具・建具・じゅう器小売業,3,25075,273,249,24,,,1.09,,,,,,11,107
116,603医薬品・化粧品小売業,17,627306,4174,1032,3142,919,,0.67,,,,3,60,61,917
117,605燃料小売業,3,35412,128,127,1,,,0.36,,,,,,100,528
118,609その他の小売業,24,376115,1059,973,86,24,,0.28,,,,2,,114,1780
119,610無店舗小売業,15,385012,3212,2285,927,4,50,0.83,18,18,,2,,41,1738
120,クレジットカード業、割賦金融業,2,,,,,,,,,,,,,41,980
121,物品賃貸業,18,,,,,13,,,,,,1,,88,1010
122,702産業用機械器具賃貸業（レンタルを含む）,16,307121,372,,,13,,0.12,,,,,,47,614
123,703事務用機械器具賃貸業（レンタルを含む）,,,,,,,,,,,,,,11,57
124,704自動車賃貸業（レンタルを除く）,,,,,,,,,,,,,,16,162
125,705スポーツ・娯楽用品賃貸業（レンタルを含む）,,,,,,,,,,,,,,2,
126,708その他の物品賃貸業（レンタルを含む）,2,,,,,,,,,,,1,,12,
127,学術研究、専門・技術サービス業,152,4158323,812515,793013,19502,902,6273,19.54,756646,60689,35,43,33822,246,4711
128,710学術・開発研究機関,44,1012562,772774,758254,14520,400,4311,76.32,732008,58593,35,21,32449,38,705
129,726デザイン業,3,,,,14,,,,,,,,,2,
130,728エンジニアリング業,64,2458599,28844,27039,1805,370,294,1.17,7849,65,,13,1231,93,2096
131,730広告業,7,381135,562,478,84,11,43,0.15,26,,,1,,59,1112
132,743機械設計業,13,134421,9207,6178,3029,121,1625,6.85,16758,2026,,2,,22,470
133,744商品・非破壊検査業,8,55765,459,455,4,,,0.82,5,5,,1,,12,149
134,745計量証明業,12,100690,525,479,46,,,0.52,,,,5,44,19,174
135,746写真業,1,,,,,,,,,,,,,1,
136,飲食サービス業,54,660768,860,860,,,,0.13,,,,1,,122,1476
137,760一般飲食店,47,458782,652,652,,,,0.14,,,,1,,102,1101
138,770持ち帰り・配達飲食サービス業,7,201986,208,208,,,,0.1,,,,,,20,375
139,生活関連サービス業、娯楽業,16,127658,411,409,2,,,0.32,,,,2,,114,976
140,781洗濯業,5,10176,79,78,1,,,0.78,,,,,,31,323
141,789その他の洗濯・理容・美容業・浴場業,5,29912,35,35,,,,0.12,,,,1,,7,41
142,796冠婚葬祭業（冠婚葬祭互助会を含む）,3,29520,81,80,1,,,0.27,,,,,,39,220
143,797写真プリント，現像・焼付業,1,,,,,,,,,,,,,2,
144,798その他の生活関連サービス業,1,,,,,,,,,,,1,,5,
145,801映画館,,,,,,,,,,,,,,3,32
146,803ゴルフ場,,,,,,,,,,,,,,9,50
147,804スポーツ施設提供業（注）,1,,,,,,,,,,,,,12,83
148,805公園、遊園地・テーマパーク,,,,,,,,,,,,,,6,76
149,個人教授所,1,,,,,,,,,,,,,1,
150,サービス業（その他のサービス業を除く）,103,1802055,22827,19308,3519,206,,1.27,,,,12,3688,431,7043
151,880廃棄物処理業,19,98576,332,259,73,40,,0.34,10,,,1,,51,270
152,900機械等修理業,44,1188146,14532,12474,2058,22,,1.22,81,,,6,290,114,1943
153,911職業紹介業,2,,,,,,,,,,,,,8,60
154,912労働者派遣業,6,13930,50,50,,,,0.36,,,,,,88,1636
155,927ディスプレイ業,3,25244,45,45,,,,0.18,,,,,,7,114
156,928テレマーケティング業,2,,,,,,,,,,,,,10,130
157,929その他の事業サービス業,27,374172,6448,,,,,1.72,,,,5,,153,2890
158,サービス業（その他のサービス業）,45,1391711,18099,16206,1893,924,163,1.3,1567,413,,6,396,161,3153
159,その他の産業,156,5597348,16049,15441,608,32,,0.29,147,,,20,958,323,6863
