,産業,研究開発_企業数,研究開発_売上高_百万円,研究開発_研究開発費_計_百万円,研究開発_研究開発費_自社研究開発費_百万円,研究開発_研究開発費_委託研究開発費_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_国内_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_海外_百万円,研究開発_売上高研究開発費比率_％,研究開発_受託研究費_百万円,研究開発_受託研究費_うち、関係会社からの受託_国内_百万円,研究開発_受託研究費_うち、関係会社からの受託_海外_百万円,研究開発投資_企業数,研究開発投資_当期取得額_百万円,能力開発_企業数,能力開発_能力開発費_百万円
0,総合計,8450,373249339,15159301,12326932,2832369,466423,590544,4.06,1169754,122358,106903,1687,643329,9276,222104
1,合計,8246,361803716,14984524,12160361,2824163,465555,590544,4.14,1160942,122352,106903,1657,628982,8818,210029
2,鉱業、採石業、砂利採取業,7,34997,377,291,86,4,***,1.08,***,***,***,***,***,8,50
3,製造業,6086,234557073,11922450,9710624,2211826,428549,383829,5.08,289832,67980,43578,1410,545763,4030,89338
4,食料品製造業,690,14479104,137901,128973,8928,1535,110,0.95,908,51,***,88,12225,443,5175
5,畜産食料品製造業,98,4560613,29043,27389,1654,139,***,0.64,31,***,***,12,3208,91,972
6,水産食料品製造業,73,636739,3448,3398,50,1,***,0.54,14,***,***,5,39,37,241
7,精穀・製粉業,18,323726,2145,2133,12,***,***,0.66,3,***,***,4,146,12,96
8,その他の食料品製造業,501,8958026,103265,96053,7212,1395,110,1.15,860,51,***,67,8832,303,3866
9,飲料・たばこ・飼料製造業,120,5487575,95923,92895,3028,40,***,1.75,9,***,***,33,19600,73,1199
10,清涼飲料・酒類・茶・たばこ製造業,89,4423311,90568,87685,2883,34,***,2.05,8,***,***,23,19219,54,989
11,飼料・有機質肥料製造業,31,1064264,5355,5210,145,6,***,0.5,1,***,***,10,381,19,210
12,繊維工業,152,1801322,105460,99650,5810,827,4252,5.85,698,91,223,24,16955,77,1713
13,製糸，紡績，ねん糸等製造業,23,821425,87574,82409,5165,656,4213,10.66,437,36,223,7,15893,10,1290
14,織物・ニット生地製造業,23,195941,5545,5271,274,11,***,2.83,34,***,***,5,218,11,111
15,染色整理業,32,151552,3225,3102,123,16,***,2.13,165,***,***,6,636,13,40
16,その他の繊維工業,35,264618,4677,4504,173,121,***,1.77,56,55,***,4,,17,99
17,織物・ニット製衣服製造業,16,201855,3216,3189,27,15,***,1.59,***,***,***,1,,15,121
18,身の回り品・その他の繊維製品製造業,23,165931,1223,1175,48,8,39,0.74,6,***,***,1,,11,52
19,木材・木製品製造業（家具を除く）,37,881350,3979,3918,61,13,***,0.45,13,3,***,3,22,30,212
20,製材・合板製造業,35,,,,,13,***,,13,3,***,3,22,28,
21,その他の木製品製造業（家具を除く）,2,,,,,***,***,,***,***,***,***,***,2,
22,家具・装備品製造業,64,1038867,13152,12544,608,47,***,1.27,***,***,***,4,1008,29,239
23,パルプ・紙・紙加工品製造業,109,3901723,29990,27870,2120,1296,***,0.77,132,9,***,18,1198,86,742
24,パルプ・紙製造業,41,2381212,15879,14752,1127,1055,***,0.67,86,9,***,11,665,29,294
25,紙加工品製造業,68,1520511,14111,13118,993,241,***,0.93,46,***,***,7,533,57,448
26,印刷・同関連業,74,2941468,35563,34963,600,365,***,1.21,70,***,***,14,1798,147,2018
27,化学工業,739,26469851,1836487,1454712,381775,17391,107608,6.94,54782,3754,22299,370,123805,411,13008
28,化学肥料・無機化学工業製品製造業,68,1422386,44425,40396,4029,121,***,3.12,295,***,***,36,4977,38,679
29,有機化学工業製品製造業,142,10253636,421445,392734,28711,5631,6509,4.11,4698,711,65,81,59342,83,3364
30,油脂加工製品等（注）,95,1778895,51012,48488,2524,2200,10,2.87,188,178,***,42,3196,57,869
31,医薬品製造業,191,7593234,1039052,715540,323512,1113,97132,13.68,47154,972,22232,104,34341,113,5229
32,その他の化学工業製品製造業,243,5421700,280553,257554,22999,8326,3957,5.17,2447,1893,2,107,21949,120,2867
33,石油製品・石炭製品製造業,31,8711036,34783,32708,2075,12,27,0.4,500,108,***,11,4102,14,568
34,石油精製業,11,8214779,24588,22643,1945,12,***,0.3,387,108,***,4,2904,8,409
