,産業,研究開発_企業数,研究開発_売上高_百万円,研究開発_研究開発費_計_百万円,研究開発_研究開発費_自社研究開発費_百万円,研究開発_研究開発費_委託研究開発費_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_国内_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_海外_百万円,研究開発_売上高研究開発費比率_％,研究開発_受託研究費_百万円,研究開発_受託研究費_うち、関係会社からの受託_国内_百万円,研究開発_受託研究費_うち、関係会社からの受託_海外_百万円,研究開発投資_企業数,研究開発投資_当期取得額_百万円,能力開発_企業数,能力開発_能力開発費_百万円
0,総合計,9358,451194806,17575155,14459674,3115481,312930,478445,3.9,821080,127691,62223,2514,1065649,11529,257059
1,合計,9041,430922708,17090530,14026177,3064353,311137,460086,3.97,810591,127206,55362,2438,1052793,10715,236672
2,鉱業、採石業、砂利採取業,7,280680,897,781,116,6,***,0.32,1,1,***,1,,8,
3,製造業,6581,272071449,14100004,11853655,2246349,224934,341885,5.18,502643,101301,21362,2055,938336,4822,98251
4,食料品製造業,732,15449463,161263,150389,10874,2266,222,1.04,2304,499,***,147,10585,528,5798
5,畜産食料品製造業,90,3822792,25371,23388,1983,293,***,0.66,53,***,***,21,4285,106,1095
6,水産食料品製造業,78,681579,3313,3157,156,37,***,0.49,29,***,***,10,95,48,242
7,精穀・製粉業,18,390632,2795,2790,5,2,1,0.72,***,***,***,7,229,19,148
8,その他の食料品製造業,546,10554460,129784,121054,8730,1934,221,1.23,2222,499,***,109,5976,355,4313
9,飲料・たばこ・飼料製造業,114,5978062,67190,64029,3161,339,***,1.12,224,***,***,41,6013,79,1300
10,清涼飲料・酒類・茶・たばこ製造業,87,4672553,62832,60242,2590,30,***,1.34,223,***,***,30,4968,62,1161
11,飼料・有機質肥料製造業,27,1305509,4358,3787,571,309,***,0.33,1,***,***,11,1045,17,139
12,繊維工業,152,1705407,87716,83935,3781,1295,1715,5.14,1488,55,220,32,5868,77,1201
13,製糸業、紡績業、化学繊維・ねん糸等製造業,24,892205,72097,68794,3303,1040,1715,8.08,1346,***,220,9,5012,10,883
14,織物・ニット生地製造業,25,170223,5647,5624,23,***,***,3.32,46,36,***,4,180,14,94
15,染色整理業,27,137523,1711,1658,53,29,***,1.24,5,***,***,4,63,11,36
16,その他の繊維工業,39,272980,4823,4581,242,203,***,1.77,65,***,***,11,,23,97
17,織物・ニット製衣服製造業,17,161329,2557,2426,131,3,***,1.58,7,***,***,1,,10,78
18,身の回り品・その他の繊維製品製造業,20,71147,881,852,29,20,***,1.24,19,19,***,3,35,9,13
19,木材・木製品製造業（家具を除く）,44,1214837,2726,2405,321,140,***,0.22,131,***,***,6,148,41,230
20,製材・合板製造業,36,1080268,2333,2036,297,140,***,0.22,126,***,***,5,,33,217
21,その他の木製品製造業（家具を除く）,8,134569,393,369,24,***,***,0.29,5,***,***,1,,8,13
22,家具・装備品製造業,68,1368353,19622,19306,316,37,***,1.43,5,***,***,9,655,42,549
23,パルプ・紙・紙加工品製造業,124,4132538,32459,29933,2526,949,***,0.79,666,391,***,24,1541,110,719
24,パルプ・紙製造業,53,2591478,16741,15267,1474,914,***,0.65,660,391,***,12,732,43,233
25,紙加工品製造業,71,1541060,15718,14666,1052,35,***,1.02,6,***,***,12,809,67,486
26,印刷・同関連業,71,2675571,33595,32432,1163,461,***,1.26,24,24,***,15,2621,169,2545
27,化学工業,779,32605009,2353402,1729914,623488,26849,159082,7.22,73265,4221,568,468,186743,485,15176
28,化学肥料・無機化学工業製品製造業,81,2306866,69250,66699,2551,136,3,3,731,***,41,48,7528,50,812
29,有機化学工業製品製造業,144,12028438,476968,444923,32045,4364,3954,3.97,7924,1293,312,100,64077,94,3400
30,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,98,1549277,43975,41575,2400,1743,8,2.84,716,431,***,59,3962,53,467
31,医薬品製造業,178,9836891,1310017,777116,532901,12166,149527,13.32,53064,646,129,105,81061,126,7013
32,その他の化学工業製品製造業,278,6883537,453192,399601,53591,8440,5590,6.58,10830,1851,86,156,30115,162,3484
33,石油製品・石炭製品製造業,37,12189800,38949,36080,2869,285,***,0.32,1083,128,***,18,6445,23,690
34,石油精製業,8,11372099,26169,23854,2315,22,***,0.23,1080,128,***,2,,9,438
35,その他の石油製品・石炭製品製造業,29,817701,12780,12226,554,263,***,1.56,3,***,***,16,,14,252
36,プラスチック製品製造業,384,6345772,403013,395383,7630,1749,1343,6.35,3935,3,336,116,17485,268,3094
37,ゴム製品製造業,99,3324819,170813,165733,5080,241,36,5.14,647,8,***,36,22333,53,1290
38,タイヤ・チューブ製造業,7,2231227,133426,129245,4181,***,***,5.98,613,***,***,3,19160,5,852
39,その他のゴム製品製造業,92,1093592,37387,36488,899,241,36,3.42,34,8,***,33,3173,48,438
40,なめし革・同製品・毛皮製造業,6,24256,109,108,1,***,***,0.45,***,***,***,1,,3,19
41,窯業・土石製品製造業,215,3703534,74659,73186,1473,95,96,2.02,3748,146,2043,73,6874,136,2078
42,ガラス・同製品製造業,37,712664,20339,19999,340,74,2,2.85,2645,***,2043,11,638,29,395
43,セメント・同製品製造業,55,1077751,13369,12980,389,2,***,1.24,798,146,***,16,1662,41,895
44,その他の窯業・土石製品製造業,123,1913119,40951,40207,744,19,94,2.14,305,***,***,46,4574,66,788
45,鉄鋼業,143,15662420,152906,147686,5220,1931,200,0.98,8161,214,***,37,11958,181,3406
46,銑鉄・粗鋼・鋼材製造業,83,14844873,149239,145044,4195,1006,200,1.01,7902,21,***,29,11668,86,2959
47,鋳鍛造品・その他の鉄鋼製品製造業,60,817547,3667,2642,1025,925,***,0.45,259,193,***,8,290,95,447
48,非鉄金属製造業,187,12709657,192551,180061,12490,1692,1752,1.51,7889,1272,***,58,15943,159,4203
49,非鉄金属製錬・精製業,39,5112362,49154,46141,3013,131,88,0.96,1214,***,***,19,8535,39,1208
50,非鉄金属加工品製造業,148,7597295,143397,133920,9477,1561,1664,1.89,6675,1272,***,39,7408,120,2995
51,金属製品製造業,489,7186347,103062,99394,3668,1181,29,1.43,616,114,***,80,5121,386,2540
52,建設用・建築用金属製品製造業,143,3467582,47229,45141,2088,130,***,1.36,175,4,***,24,2220,124,933
53,その他の金属製品製造業,346,3718765,55833,54253,1580,1051,29,1.5,441,110,***,56,2901,262,1607
54,はん用機械器具製造業,321,8303720,312624,300780,11844,3873,2031,3.76,54587,449,***,82,20702,257,3238
55,ボイラ・原動機製造業,14,2939795,164701,159027,5674,3589,***,5.6,53378,***,***,6,3896,17,683
56,ポンプ・圧縮機器製造業,82,1700481,51846,50029,1817,235,402,3.05,109,19,***,24,9402,56,526
57,一般産業用機械・装置製造業,127,2159207,56313,53951,2362,42,724,2.61,524,***,***,36,5318,101,1266
58,その他のはん用機械・同部分品製造業,98,1504237,39764,37773,1991,7,905,2.64,576,430,***,16,2086,83,763
59,生産用機械器具製造業,544,14963254,724035,664113,59922,35752,4295,4.84,15689,1867,12011,139,34174,370,6605
60,金属加工機械製造業,155,2468106,80260,75330,4930,1086,674,3.25,199,***,***,39,2044,105,1311
61,特殊産業用機械製造業,389,12495148,643775,588783,54992,34666,3621,5.15,15490,1867,12011,100,32130,265,5294
62,業務用機械器具製造業,303,10170684,899650,808513,91137,13704,11543,8.85,18064,1790,434,120,56318,172,3755
63,事務用・サービス用機械器具製造業,62,4536805,494627,450066,44561,8414,5176,10.9,5015,98,434,28,25748,30,735
64,計量器・測定器・分析機器・試験機・測量機製造業,108,1338758,80244,68589,11655,1203,3343,5.99,905,42,***,32,2857,56,1068
65,医療用機械器具・医療用品製造業,99,3633456,233307,210275,23032,4005,3024,6.42,11357,1650,***,51,12487,67,1882
66,光学機械器具・レンズ製造業,31,635772,90652,78763,11889,82,***,14.26,787,***,***,7,,18,
67,武器製造業,3,25893,820,820,***,***,***,3.17,***,***,***,2,,1,
68,電子部品・デバイス・電子回路製造業,347,17401114,1377199,1207886,169313,4899,4242,7.91,122337,13653,1434,128,163408,220,3856
69,電気機械器具製造業,484,15090986,855878,757258,98620,13794,61093,5.67,41411,21439,5,128,61109,333,9474
70,産業用電気機械器具製造業,222,8074535,409341,381208,28133,8508,10723,5.07,30700,15992,5,53,30352,182,6952
71,民生用電気機械器具製造業,58,2352032,100264,88063,12201,3050,1840,4.26,144,26,***,10,8111,35,875
72,電子応用装置製造業,40,829019,81403,67144,14259,602,11916,9.82,473,***,***,11,2299,22,423
73,その他の電気機械器具製造業,164,3835400,264870,220843,44027,1634,36614,6.91,10094,5421,***,54,20347,94,1224
74,情報通信機械器具製造業,121,7732572,505002,474070,30932,2565,5539,6.53,50305,41118,12,47,17472,85,9879
75,通信機械器具・同関連機械器具製造業,92,3709478,295545,282542,13003,2032,104,7.97,45066,40935,12,32,2682,64,1769
76,電子計算機・同附属装置製造業,29,4023094,209457,191528,17929,533,5435,5.21,5239,183,***,15,14790,21,8110
77,輸送用機械器具製造業,593,69292840,5458186,4372215,1085971,110356,88123,7.88,92294,13597,4299,195,278686,512,15509
78,自動車・同附属品製造業,451,65147223,5366873,4289011,1077862,107488,85443,8.24,80850,5692,4133,157,273420,393,13781
79,その他の輸送用機械器具製造業,142,4145617,91313,83204,8109,2868,2680,2.2,11444,7905,166,38,5266,119,1728
80,その他の製造業,224,2840434,73395,58846,14549,481,544,2.58,3770,313,***,55,,133,1097
81,電気・ガス業,47,38193511,132892,49537,83355,19542,103,0.35,22638,172,***,18,5962,110,11911
82,電気業,34,31537945,110458,33531,76927,19229,103,0.35,18411,172,***,12,1427,48,10000
83,ガス業,13,6655566,22434,16006,6428,313,***,0.34,4227,***,***,6,4535,62,1911
84,情報通信業,728,21400938,634783,446476,188307,3369,4985,2.97,42005,4431,6904,69,11836,1423,56761
85,ソフトウェア業,488,14556650,539675,364741,174934,2218,3100,3.71,33598,2885,758,50,10726,885,43764
