,産業,研究開発_企業数,研究開発_売上高_百万円,研究開発_研究開発費_計_百万円,研究開発_研究開発費_自社研究開発費_百万円,研究開発_研究開発費_委託研究開発費_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_国内_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_海外_百万円,研究開発_売上高研究開発費比率_％,研究開発_受託研究費_百万円,研究開発_受託研究費_うち、関係会社からの受託_国内_百万円,研究開発_受託研究費_うち、関係会社からの受託_海外_百万円,研究開発投資_企業数,研究開発投資_当期取得額_百万円,能力開発_企業数,能力開発_能力開発費_百万円
86,情報処理・提供サービス業,159,3675703,43517,40725,2792,552,18,1.18,8206,1523,6146,11,713,373,10325
87,インターネット附随サービス業,57,2786755,49764,39323,10441,587,1867,1.79,184,23,***,4,358,93,1603
88,映画・ビデオ制作業（※）,9,101135,742,717,25,***,***,0.73,***,***,***,2,,16,153
89,新聞業,6,228873,483,471,12,12,***,0.21,***,***,***,2,,22,689
90,出版業,9,51822,602,499,103,***,***,1.16,17,***,***,***,***,34,227
91,卸売業,1048,76030774,1894563,1388246,506317,56492,101384,2.49,81417,2031,23138,211,68666,1808,26975
92,繊維品卸売業,19,387465,2358,1605,753,157,***,0.61,55,***,***,2,,16,318
93,衣服・身の回り品卸売業,56,838198,3395,2769,626,485,70,0.41,***,***,***,1,,59,557
94,農畜産物・水産物卸売業,42,2888550,5406,4167,1239,403,***,0.19,3,***,***,6,406,109,1234
95,食料・飲料卸売業,89,4399313,28326,25181,3145,2383,***,0.64,33,***,***,17,2541,156,1714
96,建築材料卸売業,59,2370627,24910,24423,487,398,***,1.05,64,46,***,7,593,122,699
97,化学製品卸売業,117,4335337,32751,28833,3918,1348,4,0.76,3134,740,***,42,3208,123,3043
98,石油・鉱物卸売業,20,22591197,29076,23832,5244,131,110,0.13,3565,24,***,4,8570,68,1533
99,鉄鋼製品卸売業,32,3417841,3315,3044,271,17,***,0.1,***,***,***,2,,72,2845
100,非鉄金属卸売業,23,3361816,9692,9373,319,273,***,0.29,244,***,***,7,587,24,794
101,再生資源卸売業,4,266205,234,197,37,***,***,0.09,***,***,***,***,***,24,85
102,産業機械器具卸売業,86,2571975,100989,96989,4000,1371,23,3.93,1375,***,***,24,6315,166,2669
103,自動車卸売業,27,1517231,15201,13696,1505,386,1031,1,48,***,***,7,624,107,1324
104,電気機械器具卸売業,130,10299171,616865,552019,64846,21917,225,5.99,59282,13,18426,35,22933,239,3832
105,その他の機械器具卸売業,76,1498472,37134,36100,1034,209,91,2.48,417,8,***,10,937,135,1086
106,家具・建具・じゅう器等卸売業,35,602222,2165,1498,667,96,***,0.36,***,***,***,***,***,48,420
107,医薬品・化粧品等卸売業,68,7969487,767620,470239,297381,7335,68948,9.63,13132,1177,4712,20,15563,112,2455
108,紙・紙製品卸売業,11,159544,271,263,8,***,***,0.17,4,***,***,2,,27,137
109,その他の卸売業,154,6556123,214855,94018,120837,19583,30882,3.28,61,23,***,25,5882,201,2230
110,小売業,187,11595059,33217,23956,9261,4502,32,0.29,955,15,157,21,566,1166,21065
111,織物・衣服・身の回り品小売業,26,1363050,1294,1005,289,230,***,0.09,***,***,***,1,,80,1293
112,飲食料品小売業,67,1403658,4464,2709,1755,494,***,0.32,752,***,***,5,273,252,5433
113,自動車・自転車小売業,3,49098,416,400,16,16,***,0.85,***,***,***,***,***,357,4799
114,機械器具小売業,19,208100,14819,13008,1811,***,32,7.12,13,***,***,4,179,80,4846
115,家具・建具・じゅう器小売業,1,,,,,***,***,,,***,***,***,***,14,71
116,医薬品・化粧品小売業,24,958381,3620,1410,2210,1695,***,0.38,20,9,***,5,48,85,1160
117,燃料小売業,3,34831,56,56,***,***,***,0.16,***,***,***,1,,130,1133
118,その他の小売業,28,,,,,1501,***,,,6,157,4,37,137,1400
119,無店舗小売業,16,675543,3439,1897,1542,566,***,0.51,***,***,***,1,,31,930
120,クレジットカード業、割賦金融業,6,,,,,,***,,***,***,***,1,,31,1244
121,物品賃貸業,26,305640,707,658,49,10,***,0.23,***,***,***,1,,121,1872
122,産業用機械器具賃貸業（レンタルを含む）,20,211427,493,454,39,***,***,0.23,***,***,***,1,,58,796
123,事務用機械器具賃貸業（レンタルを含む）,***,***,***,***,***,***,***,***,***,***,***,***,***,15,273
124,自動車賃貸業（レンタルを除く）,***,***,***,***,***,***,***,***,***,***,***,***,***,25,389
125,スポーツ・娯楽用品賃貸業（レンタルを含む）,1,,,,***,***,***,,***,***,***,***,***,***,***
126,その他の物品賃貸業（レンタルを含む）,5,,,,10,10,***,,***,***,***,***,***,23,414
127,学術研究、専門・技術サービス業,179,5711155,265663,243869,21794,1656,11674,4.65,160062,18896,3801,45,27055,298,6016
128,学術・開発研究機関,44,610065,166108,149283,16825,476,10896,27.23,94750,14063,305,19,19683,49,1278
129,デザイン業,1,,,,***,***,***,,***,***,***,***,***,4,11
130,エンジニアリング業,76,4010066,45058,41070,3988,1119,641,1.12,10132,4833,125,15,6369,95,2505
131,広告業,11,,,,168,***,***,,33638,***,***,***,***,81,1342
132,機械設計業,19,138573,52025,51258,767,27,137,37.54,21542,***,3371,5,922,29,512
133,商品・非破壊検査業,12,76614,909,903,6,5,***,1.19,***,***,***,4,,13,145
134,計量証明業,16,106328,978,938,40,29,***,0.92,***,***,***,2,,24,209
135,写真業,***,***,***,***,***,***,***,***,***,***,***,***,***,3,14
136,飲食サービス業,82,758478,589,551,38,37,***,0.08,***,***,***,1,,128,1187
137,一般飲食店,69,641872,479,478,1,***,***,0.07,***,***,***,1,,104,835
138,持ち帰り・配達飲食サービス業,13,116606,110,73,37,37,***,0.09,***,***,***,***,***,24,352
139,生活関連サービス業、娯楽業,13,228613,260,222,38,***,23,0.11,***,***,***,***,***,165,1648
140,洗濯業,1,,,,***,***,***,,***,***,***,***,***,33,338
141,その他の洗濯・理容・美容・浴場業,3,45074,30,15,15,***,***,0.07,***,***,***,***,***,16,203
142,冠婚葬祭業（冠婚葬祭互助会を含む）,4,56690,33,10,23,***,23,0.06,***,***,***,***,***,50,405
143,写真プリント、現像・焼付業,***,***,***,***,***,***,***,***,***,***,***,***,***,3,8
144,その他の生活関連サービス業,***,***,***,***,***,***,***,***,***,***,***,***,***,9,
145,映画館,***,***,***,***,***,***,***,***,***,***,***,***,***,4,68
146,ゴルフ場,1,,,,***,***,***,,***,***,***,***,***,13,49
147,スポーツ施設提供業（809に該当するものを除く）,3,84842,139,139,***,***,***,0.16,***,***,***,***,***,23,367
148,公園、遊園地・テーマパーク,1,,,,***,***,***,,***,***,***,***,***,13,139
149,ボウリング場,***,***,***,***,***,***,***,***,***,***,***,***,***,1,
150,個人教授所,1,,,,,,***,,***,***,***,***,***,1,
151,サービス業（その他のサービス業を除く）,136,3628769,26274,17832,8442,575,***,0.72,870,359,***,15,356,634,9539
152,廃棄物処理業,28,286791,1103,930,173,162,***,0.38,99,92,***,3,95,79,647
153,機械等修理業,48,1127163,14095,13297,798,7,***,1.25,479,7,***,9,202,117,1859
154,職業紹介業,***,***,***,***,***,***,***,***,***,***,***,***,***,20,401
155,労働者派遣業,7,611991,181,74,107,1,***,0.03,***,***,***,***,***,149,2734
156,ディスプレイ業,2,,,,***,***,***,,***,***,***,***,***,6,70
157,テレマーケティング業,4,70839,154,105,49,***,***,0.22,***,***,***,***,***,26,577
158,その他の事業サービス業,47,,,,7315,405,***,,292,260,***,3,59,237,3251
159,サービス業（その他のサービス業）,80,3863125,204683,189146,15537,1086,1011,5.3,8079,485,6861,23,10362,254,4270
160,その他の産業,237,16408973,279942,244351,35591,707,17348,1.71,2410,***,***,53,2494,560,16117
