,産業,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
46,221銑鉄・粗鋼・鋼材製造業,85,11547965,147856,144605,3251,1340,,1.28,3991,162,,24,8947,79,1853
47,222鋳鍛造品・その他の鉄鋼製品製造業,59,789107,9874,9768,106,73,,1.25,416,,,10,564,57,483
48,230非鉄金属製造業,178,7691207,128087,116663,11424,2134,125,1.67,12900,1223,,38,13445,124,2595
49,231非鉄金属製錬・精製業,39,3382027,34576,33539,1037,645,31,1.02,1106,942,,9,1336,31,678
50,232非鉄金属加工品製造業,139,4309180,93511,83124,10387,1489,94,2.17,11794,281,,29,12109,93,1917
51,240金属製品製造業,446,5470493,77751,74304,3447,2283,22,1.42,922,510,,56,6423,283,2103
52,241建設用・建築用金属製品製造業,126,2287713,24950,24468,482,16,,1.09,14,,,13,386,76,425
53,249その他の金属製品製造業,320,3182780,52801,49836,2965,2267,22,1.66,908,510,,43,6037,207,1678
54,250はん用機械器具製造業,301,6647826,159249,155553,3696,582,425,2.4,55491,176,,63,5312,203,2455
55,251ボイラ・原動機製造業,16,2526729,62973,61605,1368,444,,2.49,55162,174,,3,81,16,108
56,252ポンプ・圧縮機器製造業,76,1513407,34127,33000,1127,1,131,2.25,80,,,15,213,50,775
57,253一般産業用機械・装置製造業,102,1000586,25535,24517,1018,114,294,2.55,37,,,24,1177,59,911
58,259その他のはん用機械・同部品製造業,107,1607104,36614,36431,183,23,,2.28,212,2,,21,3841,78,661
59,260生産用機械器具製造業,519,8444193,269006,252329,16677,6471,2896,3.19,4844,77,,109,13328,283,4545
60,261金属加工機械製造業,143,1752417,54949,51523,3426,587,1039,3.14,66,,,21,1313,75,669
61,262特殊産業用機械製造業,376,6691776,214057,200806,13251,5884,1857,3.2,4778,77,,88,12015,208,3876
62,270業務用機械器具製造業,322,9947396,1025782,917511,108271,9071,18580,10.31,5824,519,,94,45927,147,3816
63,271事務用・サービス用機械器具製造業,82,6313526,750399,671836,78563,3088,8436,11.89,3651,500,,24,35841,34,1613
64,273計量器・測定器等（注）,114,985953,59919,55987,3932,101,164,6.08,1320,,,28,1470,47,276
65,274医療用機械器具・医療用品製造業,82,1538398,127667,103983,23684,5665,9980,8.3,265,13,,31,4895,47,1811
66,275光学機械器具・レンズ製造業,38,1009342,84120,82033,2087,217,,8.33,584,6,,9,,15,77
67,276武器製造業,6,100177,3677,3672,5,,,3.67,4,,,2,,4,39
68,280電子部品・デバイス・電子回路製造業,353,14973861,968918,924356,44562,9820,3984,6.47,16386,2004,3054,90,43783,193,7964
69,290電気機械器具製造業,464,14539030,777336,746126,31210,4485,1156,5.35,9004,2116,4,106,32523,255,8186
70,291産業用電気機械器具製造業,209,5042020,270677,258278,12399,78,1156,5.37,2137,1445,,44,3331,132,5652
71,292民生用電気機械器具製造業,61,5772938,286517,277120,9397,3623,,4.96,2039,91,,11,14750,28,665
72,293電子応用装置製造業,32,344572,24832,22977,1855,36,,7.21,97,,4,6,155,17,473
73,299その他の電気機械器具製造業,162,3379500,195310,187751,7559,748,,5.78,4731,580,,45,14287,78,1396
74,300情報通信機械器具製造業,180,13752599,996912,947986,48926,6810,5038,7.25,23060,361,16076,44,33350,97,10588
75,301通信機械器具・同関連機械器具製造業,136,9916884,701254,672776,28478,3972,2318,7.07,2541,211,96,32,22750,68,866
76,302電子計算機・同附属装置製造業,44,3835715,295658,275210,20448,2838,2720,7.71,20519,150,15980,12,10600,29,9722
77,310輸送用機械器具製造業,517,50596578,3021181,2183340,837841,649350,46279,5.97,32082,15964,36,132,89368,373,12527
78,311自動車・同附属品製造業,411,45963138,2902271,2071354,830917,648582,46182,6.31,28941,15905,36,115,80305,296,10818
79,319その他の輸送用機械器具製造業,106,4633440,118910,111986,6924,768,97,2.57,3141,59,,17,9063,77,1709
80,320その他の製造業,214,3184272,147333,108239,39094,6442,9751,4.63,2071,25,23,38,2521,109,1176
81,電気・ガス業,30,19566697,102621,38494,64127,2517,13,0.52,3235,1774,,14,3917,74,18737
82,331電気業,15,15926602,80866,19320,61546,2517,13,0.51,3055,1774,,8,1660,26,15529
83,341ガス業,15,3640095,21755,19174,2581,,,0.6,180,,,6,2257,48,3208
84,情報通信業,509,10530020,271395,224400,46995,280,366,2.58,28862,199,8168,33,5733,963,23830
85,391ソフトウェア業,377,6626879,231992,190589,41403,257,291,3.5,22517,4,8168,26,5494,596,15341
86,392情報処理・提供サービス業,80,2953048,30572,26156,4416,20,,1.04,6321,195,,7,239,262,7153
87,401インターネット附随サービス業,36,765339,6842,5729,1113,,75,0.89,,,,,,46,866
88,411映画・ビデオ制作業（※）,4,,,,,,,,24,,,,,16,93
89,413新聞業,2,,,,,,,,,,,,,16,173
90,414出版業,10,83786,1594,1547,47,,,1.9,,,,,,27,204
91,卸売業,907,52149963,513615,475578,38037,9049,1494,0.98,8570,936,1298,146,33087,1362,20225
92,511繊維品卸売業,18,307023,729,446,283,,,0.24,,,,,,17,75
93,512衣服・身の回り品卸売業,66,888783,7335,6659,676,9,,0.83,15,,,5,816,68,496
94,521農畜産物・水産物卸売業,34,1719865,2529,2269,260,179,41,0.15,40,2,,4,326,68,415
95,522食料・飲料卸売業,80,2266603,17694,15552,2142,1887,,0.78,9,9,,15,1992,130,1558
96,531建築材料卸売業,58,2614978,24084,23765,319,4,,0.92,63,,,12,1567,82,951
97,532化学製品卸売業,92,2071504,30173,27384,2789,1714,3,1.46,829,655,4,20,766,97,970
98,533石油・鉱物卸売業,16,19532855,19998,18143,1855,42,68,0.1,214,,,4,66,54,2584
99,534鉄鋼製品卸売業,18,520745,542,497,45,32,,0.1,,,,1,,48,1219
100,535非鉄金属卸売業,15,4831535,5265,3340,1925,640,9,0.11,,,,,,15,910
101,536再生資源卸売業,4,72200,84,84,,,,0.12,,,,1,,13,87
102,541産業機械器具卸売業,76,1868837,42197,37833,4364,381,123,2.26,204,,,10,144,118,3039
103,542自動車卸売業,20,1614507,30553,28000,2553,99,,1.89,294,,,7,1464,97,1177
104,543電気機械器具卸売業,112,4681435,210656,201441,9215,1838,965,4.5,1997,270,1294,19,18317,189,2098
105,549その他の機械器具卸売業,60,828541,16126,13514,2612,41,11,1.95,2048,,,6,123,104,956
106,551家具・建具・じゅう器等卸売業,36,553769,1636,1564,72,,,0.3,,,,2,,23,110
107,552医薬品・化粧品等卸売業,62,5015631,39252,32457,6795,1816,1,0.78,2582,,,18,742,89,2444
108,553紙、紙製品卸売業,10,437899,190,160,30,,,0.04,,,,,,19,104
109,559その他の卸売業,130,2323253,64572,62470,2102,367,273,2.78,275,,,22,6707,131,1032
110,小売業,144,4144699,10661,7251,3410,1033,1286,0.26,223,,,10,385,978,13658
111,570織物・衣服・身の回り品小売業,24,855226,3208,1507,1701,305,1286,0.38,,,,,,83,1131
112,580飲食料品小売業,43,925806,1630,1541,89,19,,0.18,11,,,1,,217,4650
113,591自動車・自転車小売業,4,37177,22,18,4,,,0.06,,,,1,,269,2057
114,593機械器具小売業,11,640328,584,564,20,,,0.09,,,,1,,64,1251
115,602家具・建具・じゅう器小売業,5,24920,28,24,4,,,0.11,,,,,,16,190
116,603医薬品・化粧品小売業,16,486331,3053,1758,1295,647,,0.63,204,,,4,216,71,967
117,605燃料小売業,5,479051,184,180,4,,,0.04,,,,,,118,846
118,609その他の小売業,23,364176,940,914,26,25,,0.26,8,,,1,,104,2054
119,610無店舗小売業,13,331684,1012,745,267,37,,0.31,,,,2,,36,512
120,クレジットカード業、割賦金融業,1,,,,,,,,,,,,,36,718
121,物品賃貸業,15,125692,859,859,,,,0.68,,,,4,,75,517
122,702産業用機械器具賃貸業（レンタルを含む）,12,119306,344,344,,,,0.29,,,,3,7,34,244
123,703事務用機械器具賃貸業（レンタルを含む）,1,,,,,,,,,,,,,12,64
124,704自動車賃貸業（レンタルを除く）,,,,,,,,,,,,,,22,147
125,705スポーツ・娯楽用品賃貸業（レンタルを含む）,1,,,,,,,,,,,,,,
126,708その他の物品賃貸業（レンタルを含む）,1,,,,,,,,,,,1,,7,62
127,学術研究、専門・技術サービス業,132,3414978,89510,81836,7674,691,795,2.62,623977,427656,74551,34,11416,225,2917
128,710学術・開発研究機関,32,234436,60804,55618,5186,577,47,25.94,608910,417019,74551,15,9213,37,684
129,726デザイン業,2,,,,,,,,,,,,,1,
130,728エンジニアリング業,56,1845483,18981,17939,1042,104,,1.03,2899,654,,13,1742,77,1345
131,730広告業,7,1112250,1696,1650,46,,,0.15,,,,,,61,439
132,743機械設計業,16,124338,6984,5703,1281,10,748,5.62,12046,9869,,3,254,20,316
133,744商品・非破壊検査業,5,36873,692,599,93,,,1.88,,,,2,,10,70
134,745計量証明業,13,56328,337,311,26,,,0.6,122,114,,1,,17,56
135,746写真業,1,,,,,,,,,,,,,2,
136,飲食サービス業,69,931100,787,766,21,2,,0.08,,,,,,124,1140
137,760一般飲食店,59,662204,596,577,19,,,0.09,,,,,,106,1013
138,770持ち帰り・配達飲食サービス業,10,268896,191,189,2,2,,0.07,,,,,,18,127
139,生活関連サービス業、娯楽業,8,,,,1,,,,,,,1,,98,1111
140,781洗濯業,3,36895,55,55,,,,0.15,,,,,,22,96
141,789その他の洗濯・理容・美容業・浴場業,3,17532,19,18,1,,,0.11,,,,,,7,122
142,796冠婚葬祭業（冠婚葬祭互助会を含む）,,,,,,,,,,,,,,32,363
143,797写真現像・焼付業,,,,,,,,,,,,,,2,
144,798その他の生活関連サービス業,,,,,,,,,,,,,,1,
145,801映画館,,,,,,,,,,,,,,3,9
146,803ゴルフ場,1,,,,,,,,,,,1,,9,28
147,804スポーツ施設提供業（注）,,,,,,,,,,,,,,15,362
148,805公園、遊園地・テーマパーク,1,,,,,,,,,,,,,7,123
149,個人教授所,,,,,,,,,,,,,,2,
150,サービス業（その他のサービス業を除く）,133,2019090,17553,16072,1481,637,,0.87,2274,187,,13,735,449,5585
151,880廃棄物処理業,24,188132,1084,1070,14,3,,0.58,78,66,,2,,44,213
152,900機械等修理業,50,1217521,11053,10834,219,8,,0.91,1967,121,,5,135,104,1966
153,911職業紹介業,1,,,,,,,,,,,,,6,32
154,912労働者派遣業,10,40446,94,84,10,,,0.23,229,,,1,,100,1163
155,927ディスプレイ業,8,83625,126,126,,,,0.15,,,,,,1,
156,928テレマーケティング業,1,,,,,,,,,,,,,19,136
157,929その他の事業サービス業,39,,,,,626,,,,,,5,504,175,
158,サービス業（その他のサービス業）,34,1033043,14347,14023,324,308,,1.39,1046,396,,5,828,140,2232
159,その他の産業,114,2902597,10011,9673,338,102,,0.34,256,40,,15,209,246,4435
