,産業,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
0,総合計,8449,324803618,11658928,10007199,1651729,743395,156123,3.59,893833,457014,105801,1821,540856,8512,202315
1,合計,8301,320867978,11634570,9983503,1651067,742985,156123,3.63,892531,456578,105801,1801,539819,8126,195648
2,鉱業、採石業、砂利採取業,9,668935,1410,957,453,1,,0.21,,,,1,,11,
3,製造業,6344,227043531,10625781,9136913,1488868,728775,152169,4.68,225100,25826,21784,1545,484498,3729,106850
4,090食料品製造業,694,13587779,136251,124275,11976,6944,3264,1,1073,870,,117,6540,376,3656
5,091畜産食料品製造業,98,3974367,22959,22419,540,257,,0.58,12,,,14,936,65,714
6,092水産食料品製造業,77,696569,3609,3538,71,3,10,0.52,28,28,,6,80,35,158
7,093精穀・製粉業,19,519129,4498,4497,1,,,0.87,6,,,4,23,12,112
8,099その他の食料品製造業,500,8397714,105185,93821,11364,6684,3254,1.25,1027,842,,93,5501,264,2672
9,100飲料・たばこ・飼料製造業,121,6092228,73497,72475,1022,77,,1.21,78,,,30,4632,64,922
10,101清涼飲料・酒類・茶・たばこ製造業,89,5212807,68483,67618,865,15,,1.31,53,,,21,3716,51,835
11,102飼料・有機質肥料製造業,32,879421,5014,4857,157,62,,0.57,25,,,9,916,13,87
12,110繊維工業,160,1826157,74168,71060,3108,860,1448,4.06,1097,72,196,22,7011,73,781
13,111製糸，紡績，ねん糸等製造業,28,848093,57505,55075,2430,732,1448,6.78,1044,72,196,9,6627,11,536
14,112織物・ニット生地製造業,27,291934,6034,5896,138,,,2.07,6,,,3,37,15,77
15,113染色整理業,28,125250,1736,1646,90,19,,1.39,4,,,1,,11,24
16,114その他の繊維工業,31,223557,4329,4135,194,83,,1.94,12,,,5,,10,35
17,115織物・ニット製衣服製造業,19,231634,3672,3443,229,9,,1.59,,,,1,,20,97
18,119身の回り品・その他の繊維製品製造業,27,105689,892,865,27,17,,0.84,31,,,3,117,6,12
19,120木材・木製品製造業（家具を除く）,33,540638,2145,1952,193,146,,0.4,29,,,5,20,24,168
20,121製材・合板製造業,28,469808,1792,1625,167,142,,0.38,29,,,4,,19,108
21,129その他の木製品製造業（家具を除く）,5,70830,353,327,26,4,,0.5,,,,1,,5,60
22,130家具・装備品製造業,60,809966,6913,6877,36,5,3,0.85,234,232,,4,13,26,231
23,140パルプ・紙・紙加工品製造業,116,3674072,30006,28871,1135,870,,0.82,265,4,,15,1254,88,751
24,141パルプ・紙製造業,42,2266555,18096,17176,920,714,,0.8,212,4,,7,838,31,365
25,142紙加工品製造業,74,1407517,11910,11695,215,156,,0.85,53,,,8,416,57,386
26,150印刷・同関連業,82,2911435,55143,54080,1063,3,,1.89,190,,,15,5804,137,1521
27,160化学工業,747,25906010,2139600,1837194,302406,18547,59183,8.26,46156,1455,433,370,125543,387,36391
28,161化学肥料・無機化学工業製品製造業,80,1969861,81913,76853,5060,234,119,4.16,998,526,67,41,11211,42,648
29,162有機化学工業製品製造業,141,10235317,432894,402979,29915,11327,6502,4.23,2897,255,366,81,42958,75,2568
30,163油脂加工製品等（注）,104,2197610,84625,83015,1610,5,1146,3.85,106,86,,41,6953,48,1405
31,164医薬品製造業,193,7967040,1377422,1126744,250678,2504,51065,17.29,38012,465,,105,55449,118,29613
32,169その他の化学工業製品製造業,229,3536182,162746,147603,15143,4477,351,4.6,4143,123,,102,8972,104,2157
33,170石油製品・石炭製品製造業,35,13154468,32415,29094,3321,1150,,0.25,1493,,,19,2660,18,532
34,171石油精製業,10,12600792,24297,22023,2274,948,,0.19,1433,,,6,2188,10,448
35,179その他の石油製品・石炭製品製造業,25,553676,8118,7071,1047,202,,1.47,60,,,13,472,8,84
36,180プラスチック製品製造業,343,5484983,142070,137550,4520,620,13,2.59,4957,,20,71,7944,196,1707
37,190ゴム製品製造業,79,2543690,155134,144395,10739,258,,6.1,61,,,21,23619,32,1048
38,191タイヤ・チューブ製造業,10,1920324,141859,131384,10475,,,7.39,61,,,3,23121,3,855
39,199その他のゴム製品製造業,69,623366,13275,13011,264,258,,2.13,,,,18,498,29,193
40,200なめし革・同製品・毛皮製造業,13,38970,454,444,10,,,1.16,,,,,,,
41,210窯業・土石製品製造業,223,2888608,48700,47866,834,434,2,1.69,2476,56,1942,52,3967,105,851
42,211ガラス・同製品製造業,41,875473,15763,15233,530,413,2,1.8,2130,56,1942,11,724,20,249
43,212セメント・同製品製造業,60,511052,3969,3919,50,21,,0.78,94,,,9,116,40,238
44,219その他の窯業・土石製品製造業,122,1502083,28968,28714,254,,,1.93,252,,,32,3127,45,364
45,220鉄鋼業,144,12337072,157730,154373,3357,1413,,1.28,4407,162,,34,9511,136,2336
