,産業,研究開発_企業数,研究開発_売上高_百万円,研究開発_研究開発費_計_百万円,研究開発_研究開発費_自社研究開発費_百万円,研究開発_研究開発費_委託研究開発費_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_国内_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_海外_百万円,研究開発_売上高研究開発費比率_％,研究開発_受託研究費_百万円,研究開発_受託研究費_うち、関係会社からの受託_国内_百万円,研究開発_受託研究費_うち、関係会社からの受託_海外_百万円,研究開発投資_企業数,研究開発投資_当期取得額_百万円,能力開発_企業数,能力開発_能力開発費_百万円
0,総合計,9493,397955022,16031169,13244582,2786587,408540,404899,4.03,823443,299388,96599,2728,999958,10676,211864
1,合計,9199,381106404,15700501,12938413,2762088,395590,404161,4.12,820643,298843,96599,2655,988492,9962,197643
2,鉱業、採石業、砂利採取業,7,182959,3671,705,2966,,***,2.01,3,3,***,2,,9,92
3,製造業,6715,248837509,13035936,10939331,2096605,345475,336456,5.24,400524,93308,23729,2215,903851,4443,83550
4,食料品製造業,771,14749510,152405,142331,10074,1935,146,1.03,1467,24,***,169,12215,475,5374
5,畜産食料品製造業,94,3647733,23087,21608,1479,138,***,0.63,52,***,***,22,2080,91,822
6,水産食料品製造業,73,709942,3160,3054,106,66,***,0.45,31,1,***,9,98,39,144
7,精穀・製粉業,20,338583,2257,2243,14,***,***,0.67,1,***,***,8,155,18,163
8,その他の食料品製造業,584,10053252,123901,115426,8475,1731,146,1.23,1383,23,***,130,9882,327,4245
9,飲料・たばこ・飼料製造業,123,6000252,71796,68801,2995,147,***,1.2,66,***,***,45,6666,70,1088
10,清涼飲料・酒類・茶・たばこ製造業,93,4886813,67241,64810,2431,42,***,1.38,50,***,***,33,5431,50,934
11,飼料・有機質肥料製造業,30,1113439,4555,3991,564,105,***,0.41,16,***,***,12,1235,20,154
12,繊維工業,156,1073608,33365,31969,1396,290,***,3.11,990,52,223,36,1704,74,666
13,製糸，紡績，ねん糸等製造業,23,264811,16247,15373,874,***,***,6.14,877,36,223,10,1145,7,413
14,織物・ニット生地製造業,27,156296,6110,6075,35,15,***,3.91,21,16,***,4,186,13,59
15,染色整理業,28,128459,2400,2348,52,21,***,1.87,56,***,***,6,53,11,40
16,その他の繊維工業,39,269814,4893,4648,245,204,***,1.81,4,***,***,10,,22,59
17,織物・ニット製衣服製造業,18,161492,2786,2608,178,48,***,1.73,2,***,***,1,,12,83
18,身の回り品・その他の繊維製品製造業,21,92736,929,917,12,2,***,1,30,***,***,5,56,9,12
19,木材・木製品製造業（家具を除く）,42,1094083,4149,3913,236,87,***,0.38,76,***,***,9,159,43,192
20,製材・合板製造業,35,975187,3328,3124,204,87,***,0.34,59,***,***,6,128,36,181
21,その他の木製品製造業（家具を除く）,7,118896,821,789,32,***,***,0.69,17,***,***,3,31,7,11
22,家具・装備品製造業,66,1194351,11593,11130,463,43,***,0.97,31,***,***,11,609,35,452
23,パルプ・紙・紙加工品製造業,134,3955469,40631,38008,2623,1156,***,1.03,763,377,***,25,1760,99,577
24,パルプ・紙製造業,46,2333529,27634,26186,1448,899,***,1.18,743,376,***,14,1175,38,259
25,紙加工品製造業,88,1621940,12997,11822,1175,257,***,0.8,20,1,***,11,585,61,318
26,印刷・同関連業,83,2785702,31714,30743,971,324,***,1.14,29,***,***,19,2564,164,2426
27,化学工業,834,30825743,2293634,1766415,527219,40362,135467,7.44,83585,24948,5790,512,203812,453,13703
28,化学肥料・無機化学工業製品製造業,81,1732833,57724,53220,4504,175,***,3.33,629,***,33,45,7995,44,649
29,有機化学工業製品製造業,149,11345977,493334,466314,27020,3453,3198,4.35,8428,2289,332,103,78748,85,3169
30,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,112,1659511,56343,53880,2463,1813,***,3.4,364,127,***,64,3821,53,400
