,産業,研究開発_企業数,研究開発_売上高_百万円,研究開発_研究開発費_計_百万円,研究開発_研究開発費_自社研究開発費_百万円,研究開発_研究開発費_委託研究開発費_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_国内_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_海外_百万円,研究開発_売上高研究開発費比率_％,研究開発_受託研究費_百万円,研究開発_受託研究費_うち、関係会社からの受託_国内_百万円,研究開発_受託研究費_うち、関係会社からの受託_海外_百万円,研究開発投資_企業数,研究開発投資_当期取得額_百万円,能力開発_企業数,能力開発_能力開発費_百万円
31,医薬品製造業,204,9626822,1303916,866326,437590,20799,111649,13.54,62146,18158,5422,137,71693,126,6664
32,その他の化学工業製品製造業,288,6460600,382317,326675,55642,14122,20620,5.92,12018,4374,3,163,41555,145,2821
33,石油製品・石炭製品製造業,37,8877847,39095,36906,2189,310,17,0.44,623,106,***,19,8318,19,573
34,石油精製業,8,8186105,27104,25412,1692,4,***,0.33,533,106,***,3,7455,8,354
35,その他の石油製品・石炭製品製造業,29,691742,11991,11494,497,306,17,1.73,90,***,***,16,863,11,219
36,プラスチック製品製造業,382,6530188,191282,179536,11746,5101,1440,2.93,3796,98,304,121,18497,242,3060
37,ゴム製品製造業,96,2958758,159223,155344,3879,360,10,5.38,129,18,***,35,37465,47,697
38,タイヤ・チューブ製造業,7,1922632,131846,128483,3363,***,***,6.86,87,***,***,3,35224,4,440
39,その他のゴム製品製造業,89,1036126,27377,26861,516,360,10,2.64,42,18,***,32,2241,43,257
40,なめし革・同製品・毛皮製造業,6,27811,727,684,43,***,***,2.61,***,***,***,2,,4,20
41,窯業・土石製品製造業,219,3449209,73658,72491,1167,40,95,2.14,3761,101,1986,85,12370,129,1250
42,ガラス・同製品製造業,39,663130,20288,20008,280,12,***,3.06,2844,***,1986,15,1951,28,278
43,セメント・同製品製造業,55,1033606,16035,15827,208,6,***,1.55,296,100,***,15,5607,32,230
44,その他の窯業・土石製品製造業,125,1752473,37335,36656,679,22,95,2.13,621,1,***,55,4812,69,742
45,鉄鋼業,151,13331995,147109,142284,4825,2095,214,1.1,5747,40,183,40,13945,165,3012
46,銑鉄・粗鋼・鋼材製造業,84,12517526,142277,138266,4011,1366,214,1.14,5507,40,***,33,13846,74,2576
47,鋳鍛造品・その他の鉄鋼製品製造業,67,814469,4832,4018,814,729,***,0.59,240,***,183,7,99,91,436
48,非鉄金属製造業,184,10161937,121311,115149,6162,1331,884,1.19,8315,1051,***,63,16131,140,3402
49,非鉄金属製錬・精製業,37,3987031,42080,40916,1164,306,53,1.06,459,***,***,16,8421,33,926
50,非鉄金属加工品製造業,147,6174906,79231,74233,4998,1025,831,1.28,7856,1051,***,47,7710,107,2476
51,金属製品製造業,498,7106827,99267,94899,4368,1005,29,1.4,562,159,***,99,5347,366,2315
52,建設用・建築用金属製品製造業,146,3140344,32210,30660,1550,64,***,1.03,170,27,***,31,1298,119,875
53,その他の金属製品製造業,352,3966483,67057,64239,2818,941,29,1.69,392,132,***,68,4049,247,1440
54,はん用機械器具製造業,314,6768456,206938,195484,11454,6274,1560,3.06,38292,69,***,91,16342,241,2600
55,ボイラ・原動機製造業,14,1802661,71237,66251,4986,3414,295,3.95,37002,***,***,5,2359,16,230
56,ポンプ・圧縮機器製造業,88,1744701,53619,50408,3211,2202,381,3.07,277,18,***,26,6970,52,478
57,一般産業用機械・装置製造業,116,1999296,54549,52136,2413,153,720,2.73,570,51,***,40,5003,97,1360
58,その他のはん用機械・同部品製造業,96,1221798,27533,26689,844,505,164,2.25,443,***,***,20,2010,76,532
59,生産用機械器具製造業,552,13343641,632944,584530,48414,19501,7625,4.74,14146,417,11760,129,33645,351,6200
60,金属加工機械製造業,155,2254872,72221,67556,4665,344,319,3.2,115,***,***,36,5035,91,849
61,特殊産業用機械製造業,397,11088769,560723,516974,43749,19157,7306,5.06,14031,417,11760,93,28610,260,5351
62,業務用機械器具製造業,309,9081833,924229,840908,83321,23542,14457,10.18,13995,2502,434,137,55508,159,3075
63,事務用・サービス用機械器具製造業,64,4054451,505848,471717,34131,17850,4617,12.48,1140,66,434,30,28983,28,740
64,計量器・測定器・分析機器・試験機・測量機製造業,109,1338432,88016,73518,14498,1293,1559,6.58,1037,103,***,41,2404,57,1081
65,医療用機械器具・医療用品製造業,97,3059721,249305,226094,23211,4374,8281,8.15,11269,2333,***,53,14284,54,1117
66,光学機械器具・レンズ製造業,36,604400,80192,68711,11481,25,***,13.27,549,***,***,11,,19,
67,武器製造業,3,24829,868,868,***,***,***,3.5,***,***,***,2,,1,
68,電子部品・デバイス・電子回路製造業,344,16102091,1062491,1021313,41178,3715,4339,6.6,60011,13192,1952,122,112060,191,3259
69,電気機械器具製造業,503,17056419,1101559,980350,121209,8578,18388,6.46,33970,13269,***,141,60090,314,7735
70,産業用電気機械器具製造業,241,8172805,431449,394960,36489,3429,7472,5.28,20010,6931,***,64,29640,171,5862
71,民生用電気機械器具製造業,58,4816480,350928,337814,13114,3825,1469,7.29,2914,***,***,13,14002,29,420
72,電子応用装置製造業,37,760962,72358,61691,10667,788,9045,9.51,492,***,***,10,3108,21,360
73,その他の電気機械器具製造業,167,3306172,246824,185885,60939,536,402,7.47,10554,6338,***,54,13340,93,1093
74,情報通信機械器具製造業,128,6877935,440648,408400,32248,2094,9297,6.41,44474,31755,19,49,17614,83,8338
75,通信機械器具・同関連機械器具製造業,98,3354635,233464,219094,14370,1955,104,6.96,38674,31714,19,35,3507,56,1246
76,電子計算機・同附属装置製造業,30,3523300,207184,189306,17878,139,9193,5.88,5800,41,***,14,14107,27,7092
77,輸送用機械器具製造業,583,61470307,5019929,3927793,1092136,212593,118279,8.17,84073,4066,1078,190,260393,466,12790
78,自動車・同附属品製造業,441,56634117,4880620,3796477,1084143,211383,117387,8.62,70984,4066,1078,153,255052,353,11296
79,その他の輸送用機械器具製造業,142,4836190,139309,131316,7993,1210,892,2.88,13089,***,***,37,5341,113,1494
80,その他の製造業,200,4013537,176239,89950,86289,14592,24209,4.39,1623,1064,***,66,,113,746
81,電気・ガス業,44,25647464,122811,49322,73489,14853,***,0.48,21289,11,***,21,4847,86,11985
82,電気業,33,21549485,101019,30671,70348,14070,***,0.47,20945,11,***,14,2024,32,10330
83,ガス業,11,4097979,21792,18651,3141,783,***,0.53,344,***,***,7,2823,54,1655
84,情報通信業,734,20712678,529778,388282,141496,2785,4179,2.56,41067,3939,6804,66,11726,1319,44518
85,ソフトウェア業,503,13120728,455775,322440,133335,2097,2880,3.47,32993,3901,975,49,11002,825,32118
86,情報処理・提供サービス業,145,4188426,41753,38044,3709,333,5,1,7926,38,5829,10,661,353,9982
87,インターネット附随サービス業,59,2798224,29919,25617,4302,355,1294,1.07,141,***,***,3,29,79,1466
88,映画・ビデオ制作業（※）,9,106497,567,565,2,***,***,0.53,***,***,***,3,,15,79
89,新聞業,6,227297,499,467,32,***,***,0.22,***,***,***,1,,19,684
90,出版業,12,271506,1265,1149,116,***,***,0.47,7,***,***,***,***,28,189
91,卸売業,1085,71107427,1612230,1184461,427769,26671,62901,2.27,60137,7122,34614,250,52514,1702,23131
92,繊維品卸売業,20,329050,2822,2094,728,20,***,0.86,54,***,***,2,,19,227
93,衣服・身の回り品卸売業,60,824036,3342,2554,788,468,29,0.41,***,***,***,5,238,61,996
94,農畜産物・水産物卸売業,42,2255929,4964,3829,1135,197,***,0.22,13,***,***,11,507,98,921
95,食料・飲料卸売業,92,3847087,28401,22595,5806,5301,***,0.74,36,***,***,17,836,155,1599
96,建築材料卸売業,60,1616539,27253,26919,334,187,***,1.69,14,14,***,9,2695,108,489
97,化学製品卸売業,107,3316187,30764,26190,4574,2052,3,0.93,2849,875,***,44,1679,113,2327
98,石油・鉱物卸売業,27,18101978,18176,12983,5193,117,180,0.1,293,***,***,6,3369,59,1108
99,鉄鋼製品卸売業,37,3839722,3446,3203,243,176,***,0.09,28,***,***,5,201,67,2283
100,非鉄金属卸売業,23,3137049,8491,8173,318,260,***,0.27,85,***,***,8,314,30,700
101,再生資源卸売業,5,264803,209,181,28,***,***,0.08,***,***,***,1,,25,93
102,産業機械器具卸売業,97,3800499,198563,193449,5114,926,***,5.22,556,***,***,28,17058,159,2291
103,自動車卸売業,29,1926669,73498,71819,1679,24,1343,3.81,6328,5687,568,9,2910,109,1165
104,電気機械器具卸売業,123,7638755,447109,380214,66895,983,1152,5.85,46139,492,34046,38,4065,233,3122
105,その他の機械器具卸売業,83,1831012,44642,42815,1827,137,1069,2.44,354,49,***,16,3688,115,1178
106,家具・建具・じゅう器等卸売業,32,516716,1682,1074,608,87,***,0.33,21,***,***,1,,36,218
107,医薬品・化粧品等卸売業,69,7487416,627532,328032,299500,13937,59095,8.38,3080,***,***,23,12588,100,2147
108,紙、紙製品卸売業,14,390848,1780,1631,149,12,***,0.46,***,***,***,1,,28,118
109,その他の卸売業,165,9983132,89556,56706,32850,1787,30,0.9,287,5,***,26,2072,187,2149
110,小売業,161,4207839,29704,24170,5534,959,4,0.71,494,195,11,16,393,1093,15056
111,織物・衣服・身の回り品小売業,22,1313370,1621,1490,131,105,***,0.12,195,195,***,1,,64,627
112,飲食料品小売業,62,1214636,4326,2351,1975,378,***,0.36,256,***,***,4,87,235,5561
113,自動車・自転車小売業,2,,,,***,***,***,,***,***,***,***,***,343,3985
114,機械器具小売業,12,344753,14819,12903,1916,***,***,4.3,***,***,***,1,,79,1379
115,家具・建具・じゅう器小売業,2,,,,,***,***,,,***,***,***,***,10,58
116,医薬品・化粧品小売業,22,444976,2568,2023,545,429,***,0.58,14,***,***,5,162,82,1077
117,燃料小売業,3,29943,44,44,***,***,***,0.15,***,***,***,1,,118,809
118,その他の小売業,22,419648,995,,,18,4,0.24,,***,11,3,77,134,1258
119,無店舗小売業,14,318662,2480,1631,849,29,***,0.78,***,***,***,1,,28,302
120,クレジットカード業、割賦金融業,4,,,,,***,***,,***,***,***,2,,34,979
121,物品賃貸業,23,287704,780,763,17,10,***,0.27,***,***,***,2,,109,1335
122,産業用機械器具賃貸業（レンタルを含む）,16,143507,368,361,7,***,***,0.26,***,***,***,1,,51,538
123,事務用機械器具賃貸業（レンタルを含む）,1,,,,***,***,***,,***,***,***,***,***,12,153
124,自動車賃貸業（レンタルを除く）,***,***,***,***,***,***,***,***,***,***,***,***,***,26,285
125,スポーツ・娯楽用品賃貸業（レンタルを含む）,1,,,,***,***,***,,***,***,***,***,***,***,***
126,その他の物品賃貸業（レンタルを含む）,5,,,,10,10,***,,***,***,***,1,,20,359
127,学術研究、専門・技術サービス業,188,5330595,338169,330389,7780,1269,617,6.34,280348,192327,31260,56,14419,287,5015
128,学術・開発研究機関,45,586959,243501,239363,4138,531,107,41.49,249509,187811,10054,23,7131,39,780
129,デザイン業,2,,,,,,***,,***,***,***,***,***,3,
130,エンジニアリング業,80,3533255,39961,36942,3019,682,510,1.13,8890,4516,125,15,6394,102,2295
131,広告業,12,,,,,,***,,25,***,25,***,***,79,1256
132,機械設計業,18,108814,51877,51432,445,11,***,47.67,21881,***,21056,6,779,24,397
133,商品・非破壊検査業,14,74064,1120,1107,13,***,***,1.51,18,***,***,7,88,12,125
134,計量証明業,17,102538,895,818,77,***,***,0.87,25,***,***,5,27,27,128
135,写真業,***,***,***,***,***,***,***,***,***,***,***,***,***,1,
136,飲食サービス業,75,818082,620,585,35,***,***,0.08,***,***,***,1,,127,649
137,一般飲食店,67,689791,533,498,35,***,***,0.08,***,***,***,1,,111,396
138,持ち帰り・配達飲食サービス業,8,128291,87,87,***,***,***,0.07,***,***,***,***,***,16,253
139,生活関連サービス業、娯楽業,11,140265,324,178,146,,***,0.23,***,***,***,***,***,145,2324
140,洗濯業,2,,,,,***,***,,***,***,***,***,***,27,213
141,その他の洗濯・理容・美容業・浴場業,2,,,,***,***,***,,***,***,***,***,***,12,164
142,冠婚葬祭業（冠婚葬祭互助会を含む）,3,21963,5,5,***,***,***,0.02,***,***,***,***,***,41,241
143,"写真プリント,現像・焼付業",1,,,***,,***,***,,***,***,***,***,***,1,
144,その他の生活関連サービス業,***,***,***,***,***,***,***,***,***,***,***,***,***,9,
145,映画館,***,***,***,***,***,***,***,***,***,***,***,***,***,3,19
146,ゴルフ場,***,***,***,***,***,***,***,***,***,***,***,***,***,16,874
147,スポーツ施設提供業（809に該当するものを除く）,2,,,,***,***,***,,***,***,***,***,***,25,692
148,公園、遊園地・テーマパーク,1,,,***,,,***,,***,***,***,***,***,11,94
149,個人教授所,1,,,,,,***,,***,***,***,***,***,3,11
150,サービス業（その他のサービス業を除く）,151,3036651,25708,19693,6015,622,4,0.85,16781,1938,181,24,579,605,8998
151,廃棄物処理業,29,261769,1120,864,256,169,***,0.43,202,177,***,4,85,77,432
152,機械等修理業,53,1514962,19108,16726,2382,42,***,1.26,781,10,***,15,413,121,1912
153,職業紹介業,1,,,***,,***,***,,***,***,***,***,***,13,205
154,労働者派遣業,15,617308,3307,605,2702,69,***,0.54,13897,192,***,1,,156,2722
155,ディスプレイ業,2,,,,***,***,***,,***,***,***,***,***,6,199
156,テレマーケティング業,3,67908,141,60,81,32,***,0.21,***,***,***,***,***,20,520
157,その他の事業サービス業,48,529144,1960,,,310,4,0.37,1901,1559,181,4,,212,3008
158,サービス業（その他のサービス業）,76,2810904,178311,170390,7921,539,712,6.34,1747,545,***,18,7573,223,2700
159,その他の産業,218,14037714,152357,135779,16578,12411,26,1.09,1053,***,***,55,3893,491,11521
