,産業,研究開発_企業数,研究開発_売上高_百万円,研究開発_研究開発費_計_百万円,研究開発_研究開発費_自社研究開発費_百万円,研究開発_研究開発費_委託研究開発費_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_国内_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_海外_百万円,研究開発_売上高研究開発費比率_％,研究開発_受託研究費_百万円,研究開発_受託研究費_うち、関係会社からの受託_国内_百万円,研究開発_受託研究費_うち、関係会社からの受託_海外_百万円,研究開発投資_企業数,研究開発投資_当期取得額_百万円,能力開発_企業数,能力開発_能力開発費_百万円
0,総合計,8567,351401637,14702133,12267987,2434146,356821,415900,4.18,703094,129773,105008,1699,733591,8759,165714
1,合計,8344,340223089,14538293,12109516,2428777,355995,415837,4.27,702449,129773,105008,1670,729692,8306,157007
2,鉱業、採石業、砂利採取業,8,53767,541,412,129,***,***,1.01,***,***,***,2,,7,
3,製造業,6133,220127649,12069146,10228711,1840435,316592,329975,5.48,300279,73657,44886,1410,665363,3797,66901
4,食料品製造業,699,14635616,142529,134686,7843,1509,140,0.97,1232,40,***,100,9287,418,3799
5,畜産食料品製造業,100,4526523,25700,24249,1451,151,***,0.57,28,***,***,11,1145,84,673
6,水産食料品製造業,73,620401,3173,3105,68,21,***,0.51,15,1,***,4,82,35,152
7,精穀・製粉業,16,295362,2125,2118,7,***,***,0.72,3,***,***,5,197,10,49
8,その他の食料品製造業,510,9193330,111531,105214,6317,1337,140,1.21,1186,39,***,80,7863,289,2925
9,飲料・たばこ・飼料製造業,116,6008122,94108,91262,2846,65,***,1.57,17,***,***,31,14403,72,1323
10,清涼飲料・酒類・茶・たばこ製造業,87,4976445,89655,86977,2678,39,***,1.8,6,***,***,24,14224,52,1179
11,飼料・有機質肥料製造業,29,1031677,4453,4285,168,26,***,0.43,11,***,***,7,179,20,144
12,繊維工業,151,1048894,35179,34266,913,223,***,3.35,485,44,220,25,2597,66,616
13,製糸，紡績，ねん糸等製造業,20,204568,18282,17907,375,9,***,8.94,392,36,220,8,2125,7,384
14,織物・ニット生地製造業,29,175162,5960,5765,195,6,***,3.4,31,***,***,4,160,10,44
15,染色整理業,26,114908,2311,2212,99,21,***,2.01,52,***,***,4,22,9,27
16,その他の繊維工業,36,252040,4656,4463,193,149,***,1.85,10,8,***,6,177,16,42
17,織物・ニット製衣服製造業,18,177231,3214,3192,22,10,***,1.81,***,***,***,1,,13,95
18,身の回り品・その他の繊維製品製造業,22,124985,756,727,29,28,***,0.6,***,***,***,2,,11,24
19,木材・木製品製造業（家具を除く）,40,836110,3449,3366,83,26,***,0.41,***,***,***,6,141,29,136
20,製材・合板製造業,37,808497,3149,3066,83,26,***,0.39,***,***,***,5,,26,131
21,その他の木製品製造業（家具を除く）,3,27613,300,300,***,***,***,1.09,***,***,***,1,,3,5
22,家具・装備品製造業,62,990190,10306,10110,196,40,***,1.04,***,***,***,4,202,28,195
