,産業,研究開発_企業数,研究開発_売上高_百万円,研究開発_研究開発費_計_百万円,研究開発_研究開発費_自社研究開発費_百万円,研究開発_研究開発費_委託研究開発費_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_国内_百万円,研究開発_研究開発費_委託研究開発費_うち、関係会社への委託_海外_百万円,研究開発_売上高研究開発費比率_％,研究開発_受託研究費_百万円,研究開発_受託研究費_うち、関係会社からの受託_国内_百万円,研究開発_受託研究費_うち、関係会社からの受託_海外_百万円,研究開発投資_企業数,研究開発投資_当期取得額_百万円,能力開発_企業数,能力開発_能力開発費_百万円
23,パルプ・紙・紙加工品製造業,114,3641210,30553,28436,2117,1096,***,0.84,69,10,***,15,1095,84,503
24,パルプ・紙製造業,38,2114259,16696,15524,1172,858,***,0.79,56,10,***,10,623,28,219
25,紙加工品製造業,76,1526951,13857,12912,945,238,***,0.91,13,***,***,5,472,56,284
26,印刷・同関連業,78,2793620,33089,32556,533,430,***,1.18,36,***,***,9,1159,131,1552
27,化学工業,755,25338625,1823275,1397418,425857,17813,116087,7.2,51167,6734,16527,372,116636,399,9778
28,化学肥料・無機化学工業製品製造業,64,1332289,46626,42496,4130,67,***,3.5,487,***,***,33,4446,38,529
29,有機化学工業製品製造業,146,9429054,424035,395861,28174,4880,6291,4.5,4665,642,88,82,50200,79,2906
30,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,97,1663520,49023,46700,2323,2074,1,2.95,159,150,***,46,5643,52,587
31,医薬品製造業,192,7333574,1007493,639544,367949,2272,106124,13.74,41134,1861,16433,99,36268,110,3649
32,その他の化学工業製品製造業,256,5580188,296098,272817,23281,8520,3671,5.31,4722,4081,6,112,20079,120,2107
33,石油製品・石炭製品製造業,32,6624203,33884,31803,2081,4,28,0.51,525,109,***,12,3779,16,437
34,石油精製業,11,6192263,24014,22116,1898,4,***,0.39,440,109,***,4,2980,8,318
35,その他の石油製品・石炭製品製造業,21,431940,9870,9687,183,***,28,2.29,85,***,***,8,799,8,119
36,プラスチック製品製造業,349,5575961,182979,175033,7946,1670,5044,3.28,2390,228,7,68,14052,201,2437
37,ゴム製品製造業,84,2441543,146423,141736,4687,558,756,6,33,1,***,20,14873,41,499
38,タイヤ・チューブ製造業,6,1601971,120962,117616,3346,***,***,7.55,17,***,***,1,,3,343
39,その他のゴム製品製造業,78,839572,25461,24120,1341,558,756,3.03,16,1,***,19,,38,156
40,なめし革・同製品・毛皮製造業,6,22816,217,216,1,***,***,0.95,***,***,***,***,***,1,
41,窯業・土石製品製造業,224,3148635,66732,65691,1041,32,71,2.12,2864,94,2258,53,7187,102,745
42,ガラス・同製品製造業,45,594721,21172,20902,270,9,***,3.56,2558,***,2258,10,2449,21,218
43,セメント・同製品製造業,53,959155,10308,10113,195,***,***,1.07,273,89,***,8,1202,22,136
44,その他の窯業・土石製品製造業,126,1594759,35252,34676,576,23,71,2.21,33,5,***,35,3536,59,391
45,鉄鋼業,140,9497145,164606,159863,4743,1580,133,1.73,7181,54,***,29,33386,149,2221
46,銑鉄・粗鋼・鋼材製造業,83,8932480,162060,157981,4079,1561,56,1.81,7148,54,***,24,33309,76,1886
47,鋳鍛造品・その他の鉄鋼製品製造業,57,564665,2546,1882,664,19,77,0.45,33,***,***,5,77,73,335
48,非鉄金属製造業,176,8703917,124320,117117,7203,2014,165,1.43,5323,1124,***,37,10585,126,2707
49,非鉄金属製錬・精製業,37,3092767,36926,35674,1252,428,64,1.19,287,***,***,12,3842,28,576
50,非鉄金属加工品製造業,139,5611150,87394,81443,5951,1586,101,1.56,5036,1124,***,25,6743,98,2131
51,金属製品製造業,446,5434631,82572,79662,2910,1947,449,1.52,510,112,***,46,2335,286,1729
52,建設用・建築用金属製品製造業,120,2118900,29679,28893,786,524,4,1.4,131,35,***,13,1235,78,642
53,その他の金属製品製造業,326,3315731,52893,50769,2124,1423,445,1.6,379,77,***,33,1100,208,1087
54,はん用機械器具製造業,291,5487696,163630,149654,13976,5959,1870,2.98,747,467,***,61,6184,210,2159
55,ボイラ・原動機製造業,14,1203421,51745,44000,7745,5166,848,4.3,556,449,***,4,2360,18,129
56,ポンプ・圧縮機器製造業,85,1490672,44494,40261,4233,266,376,2.98,85,5,***,15,1757,45,341
57,一般産業用機械・装置製造業,97,1660932,37819,36665,1154,55,646,2.28,106,13,***,24,1101,76,754
58,その他のはん用機械・同部品製造業,95,1132671,29572,28728,844,472,***,2.61,***,***,***,18,966,71,935
59,生産用機械器具製造業,562,11043586,604559,566375,38184,20429,6905,5.47,12538,650,10927,88,25891,313,5083
60,金属加工機械製造業,147,1870361,69210,65474,3736,522,287,3.7,50,***,***,18,1580,68,580
61,特殊産業用機械製造業,415,9173225,535349,500901,34448,19907,6618,5.84,12488,650,10927,70,24311,245,4503
62,業務用機械器具製造業,280,9045762,883119,821564,61555,11850,13695,9.76,55186,4033,1368,78,49130,140,2467
63,事務用・サービス用機械器具製造業,59,3737605,455893,439593,16300,5960,3474,12.2,1502,417,662,19,21463,27,610
64,計量器・測定器・分析機器・試験機・測量機製造業,106,1239885,89925,80064,9861,115,515,7.25,3798,1098,706,24,9275,51,782
65,医療用機械器具・医療用品製造業,80,2656598,230186,204099,26087,5366,9706,8.66,8482,2518,***,29,5987,47,1034
66,光学機械器具・レンズ製造業,31,470063,81451,72144,9307,409,***,17.33,159,***,***,5,,14,
67,武器製造業,4,941611,25664,25664,***,***,***,2.73,41245,***,***,1,,1,
68,電子部品・デバイス・電子回路製造業,292,13093358,712686,688842,23844,10537,3774,5.44,13421,7485,1382,82,55643,171,2782
69,電気機械器具製造業,432,16808415,1051827,978502,73325,7784,15430,6.26,26065,10643,***,86,25797,255,6582
70,産業用電気機械器具製造業,213,7452959,395377,376097,19280,2313,4830,5.3,13249,3148,***,36,3094,153,4959
71,民生用電気機械器具製造業,52,5888232,378581,369584,8997,3914,1301,6.43,2389,***,***,8,9565,28,378
72,電子応用装置製造業,28,667645,76713,61447,15266,830,8923,11.49,334,***,***,7,1397,10,284
73,その他の電気機械器具製造業,139,2799579,201156,171374,29782,727,376,7.19,10093,7495,***,35,11741,64,961
74,情報通信機械器具製造業,129,5749040,341960,319124,22836,3737,8100,5.95,39656,33889,5,30,9952,76,7486
75,通信機械器具・同関連機械器具製造業,99,2394517,161014,155141,5873,2977,485,6.72,37909,33778,5,19,1811,54,896
76,電子計算機・同附属装置製造業,30,3354523,180946,163983,16963,760,7615,5.39,1747,111,***,11,8141,22,6590
77,輸送用機械器具製造業,516,58789581,5184757,4124955,1059802,215490,138052,8.82,80210,7807,12192,126,256525,401,11168
78,自動車・同附属品製造業,390,53818062,5050278,3998861,1051417,214728,137761,9.38,67568,4025,12192,104,248248,306,9565
79,その他の輸送用機械器具製造業,126,4971519,134479,126094,8385,762,291,2.7,12642,3782,***,22,8277,95,1603
80,その他の製造業,159,3368973,152387,76474,75913,11799,19276,4.52,624,133,***,32,4524,82,
81,電気・ガス業,48,23304282,132408,50482,81926,6992,***,0.57,14641,***,***,17,3586,80,11218
82,電気業,34,19626947,115563,35770,79793,6992,***,0.59,14612,***,***,10,1523,35,8922
83,ガス業,14,3677335,16845,14712,2133,***,***,0.46,29,***,***,7,2063,45,2296
84,情報通信業,636,18580884,507312,388448,118864,5358,21998,2.73,56525,30287,6077,35,7970,1117,31124
85,ソフトウェア業,445,12630294,450295,337273,113022,3658,20757,3.57,49930,30242,31,24,7865,701,21281
86,情報処理・提供サービス業,115,3273420,33022,29971,3051,1225,7,1.01,6535,45,6046,6,54,286,7620
87,インターネット附随サービス業,52,2135812,22135,19551,2584,405,1234,1.04,49,***,***,3,,64,1223
88,映画・ビデオ制作業（※）,9,116853,664,664,***,***,***,0.57,***,***,***,***,***,18,298
89,新聞業,5,131014,545,533,12,***,***,0.42,***,***,***,1,,22,605
90,出版業,10,293491,651,456,195,70,***,0.22,11,***,***,1,,26,97
91,卸売業,1003,66467569,1487929,1126752,361177,23723,63628,2.24,52567,1671,26537,154,45532,1412,21713
92,繊維品卸売業,18,317456,671,469,202,20,***,0.21,***,***,***,***,***,8,59
93,衣服・身の回り品卸売業,49,786062,3733,2480,1253,466,49,0.47,44,***,***,4,22,50,373
94,農畜産物・水産物卸売業,34,2510590,4563,4485,78,8,2,0.18,2,***,***,3,490,75,515
95,食料・飲料卸売業,91,7425826,30043,21918,8125,5385,63,0.4,34,***,***,12,1571,131,1810
96,建築材料卸売業,60,1549410,25804,25523,281,142,***,1.67,20,19,***,4,1240,78,297
97,化学製品卸売業,93,2955673,22956,19065,3891,2017,59,0.78,1958,1055,***,24,1075,93,2136
98,石油・鉱物卸売業,18,11030478,75094,73564,1530,***,***,0.68,120,***,***,5,124,50,424
99,鉄鋼製品卸売業,36,3873043,1026,923,103,67,***,0.03,***,***,***,2,,58,2325
100,非鉄金属卸売業,17,3685734,8143,7781,362,309,***,0.22,140,120,***,5,1267,15,607
101,再生資源卸売業,7,262892,652,627,25,***,***,0.25,***,***,***,1,,20,71
102,産業機械器具卸売業,93,3002828,187784,183191,4593,1143,***,6.25,950,***,***,19,16544,141,4090
103,自動車卸売業,23,1570908,66828,64518,2310,631,1502,4.25,633,***,633,6,2618,85,986
104,電気機械器具卸売業,127,6846351,370745,309391,61354,4677,939,5.42,46967,470,25904,25,7425,195,2888
105,その他の機械器具卸売業,76,1595073,41324,38831,2493,69,1033,2.59,141,***,***,13,2718,123,871
106,家具・建具・じゅう器等卸売業,38,598453,2354,1546,808,405,***,0.39,143,***,***,2,,36,240
107,医薬品・化粧品等卸売業,64,7172788,554390,311688,242702,6829,59969,7.73,665,2,***,17,9189,83,2018
108,紙、紙製品卸売業,13,382917,3257,3254,3,***,***,0.85,***,***,***,***,***,17,82
109,その他の卸売業,146,10901087,88562,57498,31064,1555,12,0.81,750,5,***,12,1126,154,1921
110,小売業,140,2959809,14410,10519,3891,1392,78,0.49,728,***,***,9,188,904,13440
111,織物・衣服・身の回り品小売業,16,242033,962,824,138,***,78,0.4,***,***,***,1,,59,520
112,飲食料品小売業,55,943858,1086,987,99,24,***,0.12,627,***,***,1,,184,4029
113,自動車・自転車小売業,3,108141,420,357,63,***,***,0.39,89,***,***,1,,289,2181
114,機械器具小売業,8,97844,685,609,76,***,***,0.7,***,***,***,1,,58,2708
115,家具・建具・じゅう器小売業,2,,,,***,***,***,,***,***,***,***,***,10,79
116,医薬品・化粧品小売業,20,693872,3625,1658,1967,1345,***,0.52,***,***,***,2,,75,1002
117,燃料小売業,3,18311,102,47,55,***,***,0.56,***,***,***,1,,94,573
118,その他の小売業,17,,,,27,18,***,,12,***,***,1,,90,963
119,無店舗小売業,16,391142,4059,2593,1466,5,***,1.04,***,***,***,1,,45,1385
120,クレジットカード業、割賦金融業,6,,,,,,***,,***,***,***,1,,29,785
121,物品賃貸業,20,295167,774,752,22,***,***,0.26,***,***,***,***,***,92,955
122,産業用機械器具賃貸業（レンタルを含む）,15,178807,389,372,17,***,***,0.22,***,***,***,***,***,43,337
123,事務用機械器具賃貸業（レンタルを含む）,1,,,,***,***,***,,***,***,***,***,***,12,99
124,自動車賃貸業（レンタルを除く）,***,***,***,***,***,***,***,***,***,***,***,***,***,20,239
125,その他の物品賃貸業（レンタルを含む）,4,,,,5,***,***,,***,***,***,***,***,17,280
126,学術研究、専門・技術サービス業,140,4420331,276051,260993,15058,1574,158,6.25,254006,23910,27508,28,6637,230,3666
127,学術・開発研究機関,32,374405,243497,231442,12055,747,158,65.04,226750,15078,11040,13,5218,37,616
128,デザイン業,2,,,,,,***,,***,***,***,***,***,3,
129,エンジニアリング業,59,2864316,27909,25364,2545,571,***,0.97,6452,4394,102,9,1351,76,1627
130,広告業,9,843730,739,,,8,***,0.09,***,***,***,1,,51,730
131,機械設計業,12,161079,2556,2545,11,***,***,1.59,20513,4147,16366,1,,24,364
132,商品・非破壊検査業,11,65665,830,651,179,171,***,1.26,***,***,***,2,,11,136
133,計量証明業,14,103876,433,339,94,***,***,0.42,291,291,***,1,,26,171
134,写真業,1,,,***,,,***,,***,***,***,1,,2,
135,飲食サービス業,70,765953,479,464,15,5,***,0.06,***,***,***,1,,77,510
136,一般飲食店,63,655972,423,413,10,***,***,0.06,***,***,***,1,,64,356
137,持ち帰り・配達飲食サービス業,7,109981,56,51,5,5,***,0.05,***,***,***,***,***,13,154
138,生活関連サービス業、娯楽業,9,81533,145,145,***,***,***,0.18,***,***,***,***,***,108,809
139,洗濯業,1,,,,***,***,***,,***,***,***,***,***,24,167
140,その他の洗濯・理容・美容業・浴場業,3,33987,18,18,***,***,***,0.05,***,***,***,***,***,8,74
141,冠婚葬祭業（冠婚葬祭互助会を含む）,3,6808,6,6,***,***,***,0.09,***,***,***,***,***,43,202
142,"写真プリント,現像・焼付業",1,,,,***,***,***,,***,***,***,***,***,2,
143,その他の生活関連サービス業,***,***,***,***,***,***,***,***,***,***,***,***,***,4,
144,映画館,***,***,***,***,***,***,***,***,***,***,***,***,***,3,17
145,ゴルフ場,***,***,***,***,***,***,***,***,***,***,***,***,***,5,10
146,スポーツ施設提供業（809に該当するものを除く）,1,,,,***,***,***,,***,***,***,***,***,12,240
147,公園、遊園地・テーマパーク,***,***,***,***,***,***,***,***,***,***,***,***,***,7,79
148,個人教授所,1,,,,,,***,,***,***,***,***,***,2,
149,サービス業（その他のサービス業を除く）,130,2151630,47896,41379,6517,320,***,2.23,23703,248,***,13,357,451,5853
150,廃棄物処理業,25,219602,482,368,114,102,***,0.22,59,5,***,2,,50,331
151,機械等修理業,52,1517877,16722,14067,2655,41,***,1.1,613,14,***,6,111,98,940
152,職業紹介業,***,***,***,***,***,***,***,***,***,***,***,***,***,10,187
153,労働者派遣業,13,103097,2933,370,2563,9,***,2.84,23031,229,***,2,,104,2161
154,ディスプレイ業,3,20796,25851,25163,688,***,***,124.31,***,***,***,1,,9,87
155,テレマーケティング業,2,,,***,,,***,,***,***,***,***,***,17,282
156,その他の事業サービス業,35,,,1411,,,***,,***,***,***,2,,163,1865
157,サービス業（その他のサービス業）,47,2157480,129702,127757,1945,450,63,6.01,***,***,***,6,2567,145,2264
158,その他の産業,176,9021068,34138,30714,3424,376,***,0.38,645,***,***,23,1332,308,6443
