,産業,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
148,805公園、遊園地・テーマパーク,2,Ｘ,Ｘ,Ｘ,,,,Ｘ,,,,,,3,6
149,個人教授所,,,,,,,,,,,,,,1,Ｘ
150,サービス業（その他のサービス業を除く）,130,1983570,18113,15621,2492,74,,0.91,2844,143,400,18,829,446,4902
151,880廃棄物処理業,21,129189,759,733,26,,,0.59,13,,,1,Ｘ,52,211
152,900機械等修理業,53,1318976,11843,11469,374,10,,0.9,2788,143,400,10,472,103,1871
153,911職業紹介業,2,Ｘ,Ｘ,Ｘ,Ｘ,,,Ｘ,,,,,,3,27
154,912労働者派遣業,15,61126,423,127,296,,,0.69,10,,,1,Ｘ,104,1104
155,927ディスプレイ業,6,87043,152,152,,,,0.17,33,,,,,4,15
156,928テレマーケティング業,,,,,,,,,,,,,,13,96
157,929その他の事業サービス業,33,Ｘ,Ｘ,Ｘ,Ｘ,64,,Ｘ,,,,6,Ｘ,167,1578
158,サービス業（その他のサービス業）,37,870343,11521,10745,776,127,,1.32,1288,171,,5,542,157,3038
159,その他の産業,141,4570385,17199,15711,1488,117,,0.38,1203,733,,13,655,306,4263
